frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
53,1.160000e+00,9.996564e-01,8.394997e-03,5.911396e+00,9.212433e-01,7.150698e-02,6.715252e-03,5.040237e-04,2.910959e-05,1.276291e-06,4.204058e-08,1.025854e-09,1.815131e-11,2.251177e-13,1.849183e-15,9.036275e-18,2.007400e-20
54,1.180000e+00,9.996509e-01,8.443616e-03,5.908839e+00,9.191450e-01,7.322432e-02,7.054346e-03,5.426866e-04,3.212089e-05,1.442910e-06,4.867429e-08,1.215565e-09,2.199415e-11,2.786669e-13,2.335728e-15,1.163065e-17,2.628607e-20
55,1.200000e+00,9.996453e-01,8.498432e-03,5.906257e+00,9.170343e-01,7.494362e-02,7.401772e-03,5.832264e-04,3.535369e-05,1.626034e-06,5.613554e-08,1.433790e-09,2.651131e-11,3.429237e-13,2.930991e-15,1.486213e-17,3.414936e-20
56,1.220000e+00,9.996397e-01,8.558813e-03,5.903650e+00,9.149112e-01,7.666489e-02,7.757491e-03,6.256757e-04,3.881719e-05,1.826751e-06,6.449915e-08,1.683802e-09,3.179618e-11,4.196183e-13,3.654933e-15,1.886072e-17,4.403118e-20
57,1.240000e+00,9.996340e-01,8.624139e-03,5.901018e+00,9.127757e-01,7.838811e-02,8.121462e-03,6.700657e-04,4.252054e-05,2.046176e-06,7.384379e-08,1.969119e-09,3.795143e-11,5.106907e-13,4.530353e-15,2.377745e-17,5.636436e-20
58,1.260000e+00,9.996284e-01,8.693792e-03,5.898360e+00,9.106279e-01,8.011319e-02,8.493638e-03,7.164260e-04,4.647285e-05,2.285450e-06,8.425195e-08,2.293513e-09,4.508941e-11,6.183062e-13,5.583164e-15,2.978681e-17,7.165616e-20
59,1.280000e+00,9.996227e-01,8.767171e-03,5.895677e+00,9.084679e-01,8.183998e-02,8.873969e-03,7.647847e-04,5.068321e-05,2.545738e-06,9.580983e-08,2.661016e-09,5.333266e-11,7.448708e-13,6.842674e-15,3.708931e-17,9.049740e-20
60,1.300000e+00,9.996171e-01,8.843733e-03,5.892969e+00,9.062961e-01,8.356827e-02,9.262396e-03,8.151680e-04,5.516056e-05,2.828227e-06,1.086073e-07,3.075918e-09,6.281425e-11,8.930469e-13,8.341877e-15,4.591423e-17,1.135720e-19
61,1.320000e+00,9.996114e-01,8.922995e-03,5.890236e+00,9.041126e-01,8.529776e-02,9.658855e-03,8.676001e-04,5.991375e-05,3.134120e-06,1.227378e-07,3.542775e-09,7.367820e-11,1.065768e-12,1.011774e-14,5.652237e-17,1.416686e-19
62,1.340000e+00,9.996057e-01,9.004476e-03,5.887479e+00,9.019180e-01,8.702805e-02,1.006327e-02,9.221032e-04,6.495148e-05,3.464634e-06,1.382979e-07,4.066403e-09,8.607976e-11,1.266254e-12,1.221150e-14,6.920904e-17,1.756912e-19
63,1.360000e+00,9.995999e-01,9.087794e-03,5.884698e+00,8.997128e-01,8.875868e-02,1.047557e-02,9.786969e-04,7.028225e-05,3.820998e-06,1.553876e-07,4.651881e-09,1.001857e-10,1.498021e-12,1.466897e-14,8.430704e-17,2.166711e-19
64,1.380000e+00,9.995941e-01,9.172637e-03,5.881893e+00,8.974976e-01,9.048907e-02,1.089564e-02,1.037398e-03,7.591432e-05,4.204445e-06,1.741097e-07,5.304541e-09,1.161745e-10,1.764901e-12,1.754077e-14,1.021897e-16,2.657790e-19
65,1.400000e+00,9.995883e-01,9.258726e-03,5.879067e+00,8.952732e-01,9.221854e-02,1.132338e-02,1.098221e-03,8.185570e-05,4.616211e-06,1.945696e-07,6.029970e-09,1.342365e-10,2.071046e-12,2.088271e-14,1.232739e-16,3.243381e-19
66,1.420000e+00,9.995825e-01,9.345824e-03,5.876219e+00,8.930404e-01,9.394632e-02,1.175867e-02,1.161178e-03,8.811409e-05,5.057528e-06,2.168751e-07,6.833993e-09,1.545740e-10,2.420943e-12,2.475594e-14,1.480233e-16,3.938372e-19
