t_ms,N_K3_0,N_K3_1e40,E_K3_0,E_K3_1e40,Fz_K3_0,Fz_K3_1e40,B_uG
74.15173311048908,1.000000000006931,0.6738028460461716,-61.27338961098251,-42.45250612921063,-5.997951017180463,-5.998482852379763,827.5717355191354
75.96031196684312,1.0000000000070963,0.6682641930052247,-60.187297888973205,-41.39987532096604,-5.997900322350647,-5.998412664869105,815.3330339440532
77.76889082319715,1.0000000000072622,0.6627673420261424,-59.15400460365526,-40.39655346573884,-5.997827724316638,-5.998404044157195,803.6891805855741
79.5774696795512,1.0000000000074285,0.6573956139994743,-58.12072166068008,-39.41117516824622,-5.997791603890475,-5.998356791815282,792.0453272270953
81.38604853590525,1.0000000000075957,0.6520641895831625,-57.08744951176722,-38.439018203930566,-5.997704700803757,-5.998308580028979,780.4014738686162
83.19462739225929,1.0000000000077616,0.6468344783358877,-56.054188566945385,-37.482997398423734,-5.997638674632212,-5.998295080506886,768.7576205101371
85.00320624861334,1.0000000000079283,0.6416588173383495,-55.02093944575236,-36.54053385359975,-5.9975806291365386,-5.998237753430612,757.1137671516581
86.81178510496737,1.0000000000080953,0.6365832988896221,-53.98770243555247,-35.61363373565813,-5.997518040496488,-5.998186182471147,745.4699137931791
88.62036396132142,1.000000000008262,0.631549028456858,-52.954478283986234,-34.69920617759101,-5.9974177492272975,-5.998154076732531,733.8260604347
90.42894281767546,1.00000000000843,0.6266070829486408,-51.921267585502115,-33.79950503678147,-5.997320368086168,-5.99814469118565,722.182207076221
92.23752167402951,1.000000000008599,0.6217253693252041,-50.888071156154254,-32.912815507703336,-5.9972516800696365,-5.998057754913445,710.538353717742
94.04610053038148,1.0000000000087674,0.6169152759488111,-49.85488908244218,-32.03940200534391,-5.997183864138659,-5.998015689008405,698.8945003592763
95.85467938673295,1.0000000000089362,0.6121604733168452,-48.821722722414634,-31.178373332077943,-5.997095685797165,-5.997945528824641,687.2506470008137
97.66325824308443,1.0000000000091054,0.6074860096982027,-47.78857232792439,-30.330636040597295,-5.9969954398149765,-5.997903420961308,675.6067936423514
