power_factor,tau_s,value
0.46,0.5586206896551724,3172.1139852963424
0.46,0.6603448275862069,2710.0635271129704
0.46,0.7620689655172413,2344.4160851821425
0.46,0.8637931034482759,2059.026432139701
0.46,0.9655172413793104,1823.2087910917871
0.46,1.0672413793103448,1626.5895767273114
0.46,1.1689655172413793,1463.3607157626084
0.46,1.2706896551724138,1320.5063626535189
0.46,1.3724137931034484,1200.1615686829227
0.46,1.4741379310344827,1092.0294018929048
0.46,1.5758620689655172,999.6713494495302
0.46,1.6775862068965517,917.7219338003079
0.46,1.7793103448275862,844.8542890862518
0.46,1.8810344827586207,779.1864506036968
0.46,1.9827586206896552,719.9557425237776
0.46,2.0844827586206898,667.9928489093018
0.46,2.1862068965517243,619.1032806781882
0.46,2.287931034482759,575.6920103276193
0.46,2.389655172413793,534.6859307271943
0.46,2.4913793103448274,497.9830927823332
0.46,2.593103448275862,462.8012995550848
0.46,2.6948275862068964,431.4766686886833
0.46,2.796551724137931,402.3497319755313
0.46,2.8982758620689655,374.04222371391074
0.46,3.0,348.5909296128518
0.49,0.05,9340.456474533432
0.49,0.15172413793103448,7217.903616157799
0.49,0.253448275862069,5617.229760181922
0.49,0.35517241379310344,4526.059819609972
0.49,0.45689655172413796,3703.047041969706
0.49,0.5586206896551724,3130.5352204471465
0.49,0.6603448275862069,2670.096175480495
0.49,0.7620689655172413,2316.724086051454
0.49,0.8637931034482759,2031.974359121254
0.49,0.9655172413793104,1797.4390954743021
0.49,1.0672413793103448,1602.5153396244627
0.49,1.1689655172413793,1436.5761352171735
0.49,1.2706896551724138,1299.7479712041477
0.49,1.3724137931034484,1180.8986763945095
0.49,1.4741379310344827,1074.5532259399442
0.49,1.5758620689655172,983.5575920214683
0.49,1.6775862068965517,903.0171106577018
0.49,1.7793103448275862,831.3359857623386
0.49,1.8810344827586207,768.7195198427266
0.49,1.9827586206896552,710.4856008932352
0.49,2.0844827586206898,657.7440185412465
0.49,2.1862068965517243,611.3009670264332
0.49,2.287931034482759,567.278951493824
0.49,2.389655172413793,528.3993827847175
0.49,2.4913793103448274,491.1729807364609
0.49,2.593103448275862,457.89266812303754
0.49,2.6948275862068964,427.1519892862884
0.49,2.796551724137931,398.5806662774464
0.49,2.8982758620689655,370.9291958286044
0.49,3.0,345.99461429003577
0.52,0.05,9326.37067640812
0.52,0.15172413793103448,7156.602262501443
0.52,0.253448275862069,5545.7414141692125
0.52,0.35517241379310344,4458.2569202525365
0.52,0.45689655172413796,3664.725314015659
0.52,0.5586206896551724,3090.1596875505875
0.52,0.6603448275862069,2631.6030451274
0.52,0.7620689655172413,2280.5656184488817
0.52,0.8637931034482759,1998.6282473334518
0.52,0.9655172413793104,1766.8827199340808
0.52,1.0672413793103448,1579.3146892138739
0.52,1.1689655172413793,1415.291687268294
0.52,1.2706896551724138,1279.9737607788911
0.52,1.3724137931034484,1162.6940012965824
0.52,1.4741379310344827,1060.6154209475762
0.52,1.5758620689655172,970.6884999453264
0.52,1.6775862068965517,891.2402540943604
0.52,1.7793103448275862,820.6538091519474
0.52,1.8810344827586207,757.1411102773559
0.52,1.9827586206896552,701.5488404848552
0.52,2.0844827586206898,649.7410625868952
0.52,2.1862068965517243,604.0175382472376
0.52,2.287931034482759,560.8139990442487
0.52,2.389655172413793,522.6215473367713
0.52,2.4913793103448274,486.1547316733363
0.52,2.593103448275862,453.4531829529833
0.52,2.6948275862068964,423.292838250509
0.52,2.796551724137931,395.28168218439237
0.52,2.8982758620689655,369.095468706623
0.52,3.0,344.61189794484744
0.55,0.05,9308.509331066583
0.55,0.15172413793103448,7093.408295096804
0.55,0.253448275862069,5540.041715298046
0.55,0.35517241379310344,4427.789532812988
0.55,0.45689655172413796,3627.3112574258175
0.55,0.5586206896551724,3051.339763459984
0.55,0.6603448275862069,2605.8307867882895
0.55,0.7620689655172413,2254.4280286406592
0.55,0.8637931034482759,1973.5458556056033
0.55,0.9655172413793104,1743.4732453870738
0.55,1.0672413793103448,1557.2174079000101
0.55,1.1689655172413793,1398.736536489591
0.55,1.2706896551724138,1261.3370645810965
0.55,1.3724137931034484,1145.6333046379905
0.55,1.4741379310344827,1044.9879692569789
0.55,1.5758620689655172,956.392851530899
0.55,1.6775862068965517,880.150592933232
0.55,1.7793103448275862,810.6016243008557
0.55,1.8810344827586207,748.0997552244175
0.55,1.9827586206896552,693.3226008378319
0.55,2.0844827586206898,642.3766495933546
0.55,2.1862068965517243,597.3771983412939
0.55,2.287931034482759,556.0896804064444
0.55,2.389655172413793,517.4377374175615
0.55,2.4913793103448274,482.67604993281043
0.55,2.593103448275862,450.5135200476027
0.55,2.6948275862068964,420.8529451308202
0.55,2.796551724137931,393.336022714667
0.55,2.8982758620689655,367.6195036900674
0.55,3.0,342.8456406127814
0.58,0.05,9287.338964933311
0.58,0.15172413793103448,7156.1170357038245
0.58,0.253448275862069,5530.849138670828
0.58,0.35517241379310344,4398.032527033519
0.58,0.45689655172413796,3611.823463946813
0.58,0.5586206896551724,3027.858781119133
0.58,0.6603448275862069,2580.421305624369
0.58,0.7620689655172413,2229.2310622599766
0.58,0.8637931034482759,1949.6556641566044
0.58,0.9655172413793104,1725.9919627172867
