nu_Hz,N0,value
30.338983050847457,8227.241341700466,8.06793146282331
30.338983050847457,9249.147277217335,7.346563455100964
30.338983050847457,10397.984184814899,6.6896942355702596
30.338983050847457,11689.518164985777,6.091556853612852
30.338983050847457,13141.473626117553,5.546899991855087
30.338983050847457,14773.776525985128,5.050941862488504
30.338983050847457,16608.827826277167,4.5993282258018
30.338983050847457,18671.810912919205,4.188094162349962
30.338983050847457,20991.037201085546,3.8136292631413697
30.338983050847457,23598.33466782194,3.472645932231762
30.338983050847457,26529.484644318945,3.162150523439272
30.338983050847457,29824.71286216888,2.8794170577767733
30.338983050847457,33529.2414924956,2.621963290855045
30.338983050847457,37693.909753883636,2.38752892014172
30.338983050847457,42375.87160604064,2.1740557407476797
30.338983050847457,47639.380104013406,1.9796695755196894
30.338983050847457,53556.669177068965,1.8026638207953636
30.338983050847457,60208.94493336126,1.6414844633612538
30.338983050847457,67687.50009458528,1.4947164370711898
30.338983050847457,76094.96685459884,1.3610711993434794
30.338983050847457,85546.72535565685,1.2393754184654553
30.338983050847457,96172.48711152964,1.1285606723860926
30.338983050847457,108118.07510766077,1.0276540685577984
30.338983050847457,121547.4250076286,0.9357697024747132
30.338983050847457,136644.83492953243,0.852100879918195
30.338983050847457,153617.49466718297,0.7759130346250784
30.338983050847457,172698.3290659436,0.7065372791997316
30.338983050847457,194149.19457438815,0.6433645326504546
30.338983050847457,218264.47283974872,0.5858401729932314
30.338983050847457,245375.11066398167,0.5334591679756269
30.338983050847457,275853.1617629181,0.48576164117126186
30.338983050847457,310116.8926574775,0.44232883451761873
30.338983050847457,348636.52276780875,0.40277943185047393
30.338983050847457,391940.6774847221,0.36676621115761543
30.338983050847457,440623.6427773573,0.3339729961604648
