x,z,n,fz,localF
-5.62500,-1.62500,4.521338e-05,7.121422e-05,5.95673
-5.37500,-1.62500,1.298650e-04,3.179127e-04,5.99907
-5.12500,-1.62500,2.687941e-04,5.914522e-04,5.99996
-4.87500,-1.62500,9.790141e-05,2.974686e-04,5.99666
-4.62500,-1.62500,1.269282e-04,3.713933e-04,5.99287
-4.37500,-1.62500,4.515616e-04,1.162031e-03,5.99997
-4.12500,-1.62500,1.108131e-03,2.792506e-03,5.99999
-3.87500,-1.62500,1.524125e-03,3.928395e-03,5.99997
-3.62500,-1.62500,1.596557e-03,4.198329e-03,5.99999
-3.37500,-1.62500,2.031219e-03,5.220798e-03,5.99999
-3.12500,-1.62500,2.866655e-03,7.096253e-03,5.99999
-2.87500,-1.62500,3.425155e-03,8.422504e-03,6.00000
-2.62500,-1.62500,3.305132e-03,8.158965e-03,5.99999
-2.37500,-1.62500,3.060476e-03,7.770734e-03,5.99997
-2.12500,-1.62500,3.045382e-03,8.052037e-03,5.99995
-1.87500,-1.62500,3.178828e-03,8.236493e-03,5.99999
-1.62500,-1.62500,3.566814e-03,8.787315e-03,5.99999
-1.37500,-1.62500,4.021085e-03,9.928135e-03,6.00000
-1.12500,-1.62500,4.247605e-03,1.069116e-02,5.99999
-0.87500,-1.62500,4.788069e-03,1.231530e-02,5.99999
-0.62500,-1.62500,5.008102e-03,1.279613e-02,6.00000
-0.37500,-1.62500,4.749957e-03,1.165194e-02,6.00000
-0.12500,-1.62500,4.122441e-03,1.000085e-02,5.99999
0.12500,-1.62500,4.121138e-03,9.964085e-03,5.99999
0.37500,-1.62500,4.732808e-03,1.129883e-02,6.00000
0.62500,-1.62500,4.988667e-03,1.139071e-02,5.99999
0.87500,-1.62500,4.785290e-03,1.086769e-02,5.99999
1.12500,-1.62500,4.234175e-03,9.872984e-03,5.99999
1.37500,-1.62500,3.989703e-03,9.488754e-03,6.00000
1.62500,-1.62500,3.537410e-03,8.434229e-03,5.99999
1.87500,-1.62500,3.159344e-03,7.116436e-03,5.99999
2.12500,-1.62500,3.028479e-03,6.648834e-03,5.99995
2.37500,-1.62500,3.037350e-03,6.990145e-03,5.99997
2.62500,-1.62500,3.298559e-03,7.814930e-03,5.99999
2.87500,-1.62500,3.431292e-03,8.171278e-03,6.00000
3.12500,-1.62500,2.877737e-03,6.820559e-03,5.99999
3.37500,-1.62500,2.053674e-03,4.677361e-03,5.99999
3.62500,-1.62500,1.613724e-03,3.573131e-03,5.99999
3.87500,-1.62500,1.518894e-03,3.440729e-03,5.99998
4.12500,-1.62500,1.101715e-03,2.566374e-03,5.99999
4.37500,-1.62500,4.614168e-04,1.051090e-03,5.99997
4.62500,-1.62500,1.218934e-04,2.239083e-04,5.99279
4.87500,-1.62500,8.896861e-05,1.571796e-04,5.99628
5.12500,-1.62500,2.609077e-04,6.921702e-04,5.99995
5.37500,-1.62500,1.316155e-04,3.101824e-04,5.99903
5.62500,-1.62500,5.091266e-05,1.546535e-04,5.96320
5.87500,-1.62500,7.507876e-05,2.168761e-04,5.99966
-5.87500,-1.37500,7.742168e-05,1.675136e-04,5.99842
-5.62500,-1.37500,8.226862e-05,2.167046e-04,5.98705
-5.37500,-1.37500,2.978110e-04,7.726444e-04,5.99992
-5.12500,-1.37500,5.950798e-04,1.389363e-03,5.99996
-4.87500,-1.37500,4.169579e-04,1.095238e-03,5.99994
-4.62500,-1.37500,4.045080e-04,1.093556e-03,5.99984
-4.37500,-1.37500,9.004581e-04,2.196833e-03,5.99978
-4.12500,-1.37500,1.928714e-03,4.778317e-03,5.99998
-3.87500,-1.37500,2.688854e-03,6.710102e-03,6.00000
-3.62500,-1.37500,2.621996e-03,6.591636e-03,6.00000
-3.37500,-1.37500,2.654989e-03,6.814676e-03,6.00000
-3.12500,-1.37500,3.307099e-03,8.370617e-03,6.00000
-2.87500,-1.37500,4.001687e-03,1.000414e-02,6.00000
-2.62500,-1.37500,3.998936e-03,1.008932e-02,5.99999
-2.37500,-1.37500,3.611873e-03,9.456417e-03,5.99995
-2.12500,-1.37500,3.549269e-03,9.427226e-03,5.99993
-1.87500,-1.37500,3.791733e-03,9.573927e-03,5.99999
-1.62500,-1.37500,4.170186e-03,1.021177e-02,6.00000
-1.37500,-1.37500,4.657428e-03,1.159600e-02,6.00000
-1.12500,-1.37500,4.983810e-03,1.242622e-02,6.00000
-0.87500,-1.37500,5.472417e-03,1.391323e-02,6.00000
-0.62500,-1.37500,5.694370e-03,1.470278e-02,5.99998
-0.37500,-1.37500,5.255065e-03,1.323555e-02,5.99999
-0.12500,-1.37500,4.608404e-03,1.127907e-02,6.00000
0.12500,-1.37500,4.599178e-03,1.103153e-02,6.00000
0.37500,-1.37500,5.229811e-03,1.215927e-02,5.99999
0.62500,-1.37500,5.675944e-03,1.281436e-02,5.99998
0.87500,-1.37500,5.485186e-03,1.262792e-02,6.00000
1.12500,-1.37500,4.994320e-03,1.176094e-02,6.00000
1.37500,-1.37500,4.649775e-03,1.095303e-02,6.00000
1.62500,-1.37500,4.149935e-03,9.952894e-03,6.00000
1.87500,-1.37500,3.773394e-03,8.747101e-03,5.99999
2.12500,-1.37500,3.542786e-03,7.721022e-03,5.99992
