x,z,n,fz,localF
-1.37500,-1.87500,1.657964e-03,2.610696e-03,5.06728
-1.12500,-1.87500,1.846158e-03,1.254620e-03,4.76884
-0.87500,-1.87500,2.391362e-03,3.718097e-03,5.07351
-0.62500,-1.87500,2.832297e-03,5.678469e-03,5.63673
-0.37500,-1.87500,3.209740e-03,3.607745e-03,5.72308
-0.12500,-1.87500,2.609424e-03,2.587860e-03,5.55354
0.12500,-1.87500,1.964492e-03,3.277999e-03,5.70034
0.37500,-1.87500,3.116559e-03,4.176398e-03,5.51993
0.62500,-1.87500,2.800565e-03,3.241386e-03,5.81123
0.87500,-1.87500,1.888614e-03,-1.859565e-06,5.40003
1.12500,-1.87500,2.018956e-03,-1.985576e-03,5.44625
1.37500,-1.87500,2.000288e-03,-2.509417e-03,5.68659
1.62500,-1.87500,1.230607e-03,-1.006467e-03,5.19390
1.87500,-1.87500,8.869741e-04,5.756376e-05,5.16468
2.12500,-1.87500,1.679767e-03,1.142067e-03,5.08796
2.37500,-1.87500,1.674221e-03,-2.333596e-03,5.05101
2.62500,-1.87500,1.835908e-03,-3.162906e-03,5.19725
2.87500,-1.87500,1.714139e-03,-2.630934e-04,4.93225
3.12500,-1.87500,1.045994e-03,1.127567e-03,4.61666
3.37500,-1.87500,1.335534e-03,2.424661e-04,4.19687
3.62500,-1.87500,7.038440e-04,1.370114e-03,4.06327
3.87500,-1.87500,1.329665e-03,-2.588945e-04,4.71913
4.12500,-1.87500,4.791142e-04,5.176384e-04,3.67232
4.37500,-1.87500,4.316652e-04,9.518861e-04,3.22641
4.62500,-1.87500,1.141918e-03,2.636021e-04,4.78197
4.87500,-1.87500,1.136414e-03,-1.699183e-03,4.76533
5.12500,-1.87500,1.107828e-03,-3.719741e-04,4.22706
5.37500,-1.87500,8.517987e-04,-6.242093e-04,4.24735
5.62500,-1.87500,3.766599e-04,-7.527576e-04,4.14875
5.87500,-1.87500,4.718164e-04,2.656578e-04,3.57399
-5.87500,-1.62500,9.516577e-04,2.001108e-03,4.59541
-5.62500,-1.62500,6.970101e-04,1.841034e-03,4.52874
-5.37500,-1.62500,5.468374e-04,4.486141e-04,4.16779
-5.12500,-1.62500,9.416405e-04,-8.037928e-04,4.04949
-4.87500,-1.62500,5.237566e-04,-1.494377e-04,2.91599
-4.62500,-1.62500,7.551155e-04,8.870935e-05,3.68458
-4.37500,-1.62500,8.022738e-04,5.265977e-04,4.57114
-4.12500,-1.62500,5.392754e-04,4.567689e-04,3.58525
-3.87500,-1.62500,5.260579e-04,2.106011e-04,3.82580
-3.62500,-1.62500,6.017041e-04,7.126642e-04,4.42149
-3.37500,-1.62500,1.313503e-03,8.902912e-04,4.84840
-3.12500,-1.62500,1.180047e-03,-1.901336e-04,4.76295
-2.87500,-1.62500,7.616457e-04,2.236032e-04,4.64744
-2.62500,-1.62500,6.930205e-04,1.095873e-03,4.09986
-2.37500,-1.62500,9.996772e-04,7.571222e-04,4.90479
-2.12500,-1.62500,1.324207e-03,1.090764e-03,5.65158
-1.87500,-1.62500,2.862397e-03,1.023831e-03,5.61576
-1.62500,-1.62500,2.909506e-03,1.847057e-03,5.56023
-1.37500,-1.62500,3.129733e-03,2.866159e-03,5.65408
-1.12500,-1.62500,2.288106e-03,2.545205e-03,4.99068
-0.87500,-1.62500,3.145921e-03,6.178340e-03,5.32311
-0.62500,-1.62500,3.373625e-03,6.342540e-03,5.64343
-0.37500,-1.62500,2.736204e-03,4.825070e-03,5.51893
-0.12500,-1.62500,2.674894e-03,4.022029e-03,5.58928
0.12500,-1.62500,2.372472e-03,5.068035e-03,5.73059
0.37500,-1.62500,2.193328e-03,4.177944e-03,5.31081
0.62500,-1.62500,2.936523e-03,2.833054e-03,5.38189
0.87500,-1.62500,3.273190e-03,2.975189e-03,5.59011
1.12500,-1.62500,2.782441e-03,-2.538498e-04,5.25163
1.37500,-1.62500,2.468876e-03,-1.482998e-03,5.62125
1.62500,-1.62500,1.441250e-03,5.430604e-04,5.16919
1.87500,-1.62500,5.214342e-04,7.074142e-04,4.21138
2.12500,-1.62500,1.900717e-03,-7.993734e-04,5.32885
2.37500,-1.62500,1.829121e-03,-2.603809e-03,5.46254
2.62500,-1.62500,2.047744e-03,-2.414853e-04,4.83361
2.87500,-1.62500,1.088243e-03,2.426291e-04,5.03749
3.12500,-1.62500,3.802001e-04,-3.031502e-04,4.97193
3.37500,-1.62500,1.789034e-03,-1.572701e-03,5.07303
3.62500,-1.62500,8.711441e-04,9.990915e-04,4.80286
3.87500,-1.62500,1.506113e-03,-4.592393e-04,4.86093
4.12500,-1.62500,1.014118e-03,1.826434e-04,5.22700
4.37500,-1.62500,4.128940e-04,5.703696e-04,3.24550
4.62500,-1.62500,4.531603e-04,2.836200e-04,4.23969
4.87500,-1.62500,7.726395e-04,-1.075895e-03,5.06403
5.12500,-1.62500,9.285995e-04,2.184168e-04,4.02126
5.37500,-1.62500,1.163385e-03,-7.129342e-04,4.33273
5.62500,-1.62500,5.962434e-04,-1.324044e-04,3.55263
5.87500,-1.62500,5.472400e-04,8.368871e-04,4.28027
-5.87500,-1.37500,1.142191e-03,3.180871e-03,5.66739
-5.62500,-1.37500,9.077006e-04,2.875165e-03,5.62941
-5.37500,-1.37500,8.741061e-04,1.419392e-03,4.54348
-5.12500,-1.37500,7.617093e-04,-5.251060e-04,3.98014
-4.87500,-1.37500,7.727300e-04,5.392208e-05,4.51861
-4.62500,-1.37500,7.992354e-04,-2.571936e-04,4.13947
-4.37500,-1.37500,5.107286e-04,2.145447e-05,4.71410
-4.12500,-1.37500,5.479388e-04,5.686937e-04,4.88135
-3.87500,-1.37500,9.701381e-04,-1.657829e-04,4.56839
-3.62500,-1.37500,3.394046e-04,4.774793e-04,3.20291
-3.37500,-1.37500,6.583693e-04,6.506281e-04,3.36643
-3.12500,-1.37500,9.258912e-04,-4.756751e-04,3.73175
-2.87500,-1.37500,7.227459e-04,7.366098e-04,4.20493
-2.62500,-1.37500,8.396636e-04,8.088753e-04,4.32631
-2.37500,-1.37500,1.393602e-03,-4.061292e-04,5.18024
-2.12500,-1.37500,1.534516e-03,1.578265e-03,4.86543
-1.87500,-1.37500,2.379728e-03,5.236450e-04,5.39188
-1.62500,-1.37500,3.027395e-03,-1.321694e-03,5.42826
-1.37500,-1.37500,2.462942e-03,1.583650e-03,5.41676
-1.12500,-1.37500,2.955435e-03,5.412438e-03,5.58812
-0.87500,-1.37500,2.464885e-03,4.236643e-03,5.40476
-0.62500,-1.37500,1.843025e-03,1.983217e-03,5.30121
-0.37500,-1.37500,2.377351e-03,3.719268e-03,5.39752
-0.12500,-1.37500,3.077840e-03,4.525844e-03,5.50012
0.12500,-1.37500,2.877030e-03,3.594092e-03,5.58665
0.37500,-1.37500,2.896807e-03,2.389054e-03,5.34550
0.62500,-1.37500,2.855747e-03,2.069440e-03,5.38090
0.87500,-1.37500,3.097521e-03,2.594677e-03,5.61215
1.12500,-1.37500,3.515822e-03,1.357555e-03,5.74619
1.37500,-1.37500,4.418410e-03,1.056835e-03,5.63937
1.62500,-1.37500,3.441956e-03,3.375094e-03,5.69003
1.87500,-1.37500,2.173224e-03,1.613364e-03,5.07196
2.12500,-1.37500,2.354343e-03,2.179623e-03,5.48932
2.37500,-1.37500,2.165448e-03,1.990121e-03,5.16064
2.62500,-1.37500,3.415361e-03,-1.375374e-03,5.62809
2.87500,-1.37500,2.522039e-03,-1.124976e-03,5.57318
3.12500,-1.37500,1.830545e-03,-3.661289e-05,5.51264
3.37500,-1.37500,1.179078e-03,-1.387717e-04,5.49496
3.62500,-1.37500,1.089120e-03,1.280398e-03,5.10404
3.87500,-1.37500,1.567443e-03,1.792884e-03,5.56089
4.12500,-1.37500,8.752506e-04,4.557484e-04,4.57890
4.37500,-1.37500,9.418605e-04,1.579321e-03,5.39784
4.62500,-1.37500,5.595034e-04,-2.888726e-04,3.68128
4.87500,-1.37500,7.901618e-04,-1.111768e-03,4.37497
5.12500,-1.37500,6.473047e-04,3.470244e-04,4.12242
5.37500,-1.37500,5.604765e-04,5.084380e-04,3.85404
5.62500,-1.37500,5.903498e-04,8.895310e-04,3.80436
5.87500,-1.37500,5.825007e-04,1.191451e-03,4.51308
-5.87500,-1.12500,8.229944e-04,2.100992e-03,5.03752
-5.62500,-1.12500,6.863411e-04,2.726483e-05,4.20127
-5.37500,-1.12500,9.605751e-04,1.565880e-03,4.46959
-5.12500,-1.12500,1.076314e-03,1.431460e-03,5.31413
-4.87500,-1.12500,8.782024e-04,7.329411e-04,4.29890
-4.62500,-1.12500,1.081338e-03,8.626649e-04,4.73644
-4.37500,-1.12500,6.739629e-04,-4.558243e-04,4.79248
-4.12500,-1.12500,6.987763e-04,1.088170e-04,4.25596
-3.87500,-1.12500,9.040575e-04,9.547803e-04,4.49216
-3.62500,-1.12500,9.854381e-04,-5.124905e-05,4.31355
-3.37500,-1.12500,1.010692e-03,-6.360843e-04,5.06895
-3.12500,-1.12500,8.188109e-04,-1.111598e-03,4.57240
-2.87500,-1.12500,7.170570e-04,1.348414e-04,3.89620
-2.62500,-1.12500,1.008815e-03,8.527943e-04,4.50241
-2.37500,-1.12500,1.716682e-03,-1.350471e-03,5.19518
-2.12500,-1.12500,1.352223e-03,3.489314e-04,4.60022
-1.87500,-1.12500,3.495823e-03,5.840957e-04,5.10086
-1.62500,-1.12500,3.659211e-03,6.390875e-04,5.65664
-1.37500,-1.12500,4.608374e-03,5.215659e-04,5.69354
-1.12500,-1.12500,3.152400e-03,4.242714e-03,5.68295
-0.87500,-1.12500,4.016391e-03,3.542534e-03,5.62574
-0.62500,-1.12500,3.037125e-03,3.253609e-03,5.52696
-0.37500,-1.12500,4.608981e-03,5.884443e-03,5.62132
-0.12500,-1.12500,5.234201e-03,1.010523e-02,5.72123
0.12500,-1.12500,3.574727e-03,5.822496e-03,5.45670
0.37500,-1.12500,3.005940e-03,1.209611e-03,5.89058
0.62500,-1.12500,2.999741e-03,8.441893e-04,5.68724
0.87500,-1.12500,2.847688e-03,5.294845e-04,5.65098
1.12500,-1.12500,4.004632e-03,8.395555e-05,5.80218
1.37500,-1.12500,6.057841e-03,6.274186e-04,5.63240
1.62500,-1.12500,3.790690e-03,8.058079e-04,5.70179
1.87500,-1.12500,3.434517e-03,1.929105e-03,5.35428
2.12500,-1.12500,4.160970e-03,3.551796e-03,5.49501
2.37500,-1.12500,3.125109e-03,4.077132e-03,5.26271
2.62500,-1.12500,4.764383e-03,1.590326e-03,5.69565
2.87500,-1.12500,3.131513e-03,4.372892e-04,5.80635
3.12500,-1.12500,3.573980e-03,1.820456e-03,5.48474
3.37500,-1.12500,2.797885e-03,3.894532e-03,5.44341
3.62500,-1.12500,2.436993e-03,3.148817e-03,5.46831
3.87500,-1.12500,1.903453e-03,3.287120e-03,5.25251
4.12500,-1.12500,1.278182e-03,-1.577027e-04,4.71133
4.37500,-1.12500,1.187746e-03,1.801773e-03,4.48591
4.62500,-1.12500,6.420775e-04,-8.541837e-04,4.84243
4.87500,-1.12500,7.262232e-04,1.784483e-04,3.87728
5.12500,-1.12500,4.226420e-04,-5.335052e-04,3.76278
5.37500,-1.12500,5.518292e-04,-5.207162e-04,4.03420
5.62500,-1.12500,5.809952e-04,1.799763e-04,4.11669
5.87500,-1.12500,7.656845e-04,1.320270e-03,4.86084
-5.87500,-0.87500,4.893976e-04,-3.785361e-05,3.74888
-5.62500,-0.87500,6.912400e-04,6.380175e-04,4.96438
-5.37500,-0.87500,6.180837e-04,1.643226e-03,4.99312
-5.12500,-0.87500,9.275832e-04,9.534947e-04,4.95208
-4.87500,-0.87500,1.010860e-03,9.865196e-05,4.00403
-4.62500,-0.87500,1.312486e-03,1.576182e-03,4.77866
-4.37500,-0.87500,1.146785e-03,1.149068e-03,4.88841
-4.12500,-0.87500,7.586525e-04,-7.126487e-04,3.25226
-3.87500,-0.87500,8.540825e-04,8.102647e-04,4.73875
-3.62500,-0.87500,1.859716e-03,2.817530e-03,5.30827
-3.37500,-0.87500,2.611268e-03,1.503126e-03,5.30754
-3.12500,-0.87500,2.292321e-03,-4.079551e-04,5.26556
-2.87500,-0.87500,9.831327e-04,-5.906062e-04,4.90224
-2.62500,-0.87500,1.408536e-03,-9.768898e-04,4.94729
-2.37500,-0.87500,2.783088e-03,5.702518e-04,4.95167
-2.12500,-0.87500,2.452942e-03,3.752559e-04,5.41963
-1.87500,-0.87500,3.056539e-03,2.279367e-03,5.53771
-1.62500,-0.87500,3.358854e-03,3.365079e-03,5.80401
-1.37500,-0.87500,4.638167e-03,5.765253e-04,5.70732
-1.12500,-0.87500,5.706141e-03,6.752218e-03,5.76578
-0.87500,-0.87500,5.156031e-03,1.023229e-02,5.80342
-0.62500,-0.87500,3.751424e-03,5.702566e-03,5.76100
-0.37500,-0.87500,7.027093e-03,8.034682e-03,5.83332
-0.12500,-0.87500,6.713830e-03,9.973788e-03,5.87352
0.12500,-0.87500,4.761438e-03,5.924332e-03,5.67939
0.37500,-0.87500,5.443988e-03,5.559974e-03,5.60014
0.62500,-0.87500,5.804642e-03,5.884557e-03,5.78117
0.87500,-0.87500,4.108313e-03,2.414616e-03,5.43974
1.12500,-0.87500,3.940932e-03,4.326998e-03,5.63752
1.37500,-0.87500,4.025662e-03,3.207329e-03,5.58783
1.62500,-0.87500,4.899063e-03,3.914672e-03,5.58230
1.87500,-0.87500,4.081291e-03,4.531976e-03,5.52626
2.12500,-0.87500,3.171891e-03,3.007883e-03,5.55857
2.37500,-0.87500,2.976554e-03,2.989420e-03,5.43081
2.62500,-0.87500,4.320582e-03,2.185040e-03,5.49718
2.87500,-0.87500,3.734741e-03,1.796412e-03,5.73778
3.12500,-0.87500,2.823059e-03,1.815828e-03,5.69340
3.37500,-0.87500,3.138264e-03,3.436999e-03,5.48464
3.62500,-0.87500,3.477256e-03,5.884718e-03,5.68708
3.87500,-0.87500,3.185508e-03,6.121429e-03,5.50614
4.12500,-0.87500,1.017011e-03,2.060258e-03,5.18504
