which,t_s,N,N0,Nth,T_nK
ramp_only,1.361600e+00,5.996920e+05,0.000000e+00,5.996920e+05,4451.6086
ramp_only,1.369000e+00,5.957746e+05,0.000000e+00,5.957746e+05,4351.7060
ramp_only,1.376400e+00,5.918530e+05,0.000000e+00,5.918530e+05,4252.9981
ramp_only,1.383800e+00,5.879187e+05,0.000000e+00,5.879187e+05,4155.3226
ramp_only,1.391200e+00,5.839635e+05,0.000000e+00,5.839635e+05,4058.5521
ramp_only,1.398600e+00,5.799795e+05,0.000000e+00,5.799795e+05,3962.5638
ramp_only,1.406000e+00,5.759588e+05,0.000000e+00,5.759588e+05,3867.2405
ramp_only,1.413400e+00,5.718938e+05,0.000000e+00,5.718938e+05,3772.4640
ramp_only,1.420800e+00,5.677783e+05,0.000000e+00,5.677783e+05,3678.1509
ramp_only,1.428200e+00,5.636051e+05,0.000000e+00,5.636051e+05,3584.2253
ramp_only,1.435600e+00,5.593775e+05,0.000000e+00,5.593775e+05,3492.4828
ramp_only,1.443000e+00,5.551221e+05,0.000000e+00,5.551221e+05,3402.8917
ramp_only,1.450400e+00,5.508460e+05,0.000000e+00,5.508460e+05,3314.8324
ramp_only,1.457800e+00,5.465399e+05,0.000000e+00,5.465399e+05,3227.6850
ramp_only,1.465200e+00,5.421935e+05,0.000000e+00,5.421935e+05,3141.2948
ramp_only,1.472600e+00,5.377973e+05,0.000000e+00,5.377973e+05,3055.5507
ramp_only,1.480000e+00,5.333415e+05,0.000000e+00,5.333415e+05,2970.3533
ramp_only,1.487400e+00,5.288150e+05,0.000000e+00,5.288150e+05,2885.6129
ramp_only,1.494800e+00,5.242059e+05,0.000000e+00,5.242059e+05,2801.2320
ramp_only,1.502200e+00,5.195020e+05,0.000000e+00,5.195020e+05,2717.1158
ramp_only,1.509600e+00,5.146916e+05,0.000000e+00,5.146916e+05,2633.1740
ramp_only,1.517000e+00,5.097637e+05,0.000000e+00,5.097637e+05,2549.3485
ramp_only,1.524400e+00,5.047050e+05,0.000000e+00,5.047050e+05,2465.5787
ramp_only,1.531800e+00,4.994993e+05,0.000000e+00,4.994993e+05,2381.8057
ramp_only,1.539200e+00,4.941291e+05,0.000000e+00,4.941291e+05,2297.9692
ramp_only,1.546600e+00,4.885773e+05,0.000000e+00,4.885773e+05,2214.0286
ramp_only,1.554000e+00,4.828273e+05,0.000000e+00,4.828273e+05,2129.9501
ramp_only,1.561400e+00,4.768556e+05,0.000000e+00,4.768556e+05,2045.6423
ramp_only,1.568800e+00,4.706792e+05,0.000000e+00,4.706792e+05,1961.2896
ramp_only,1.576200e+00,4.645880e+05,0.000000e+00,4.645880e+05,1878.6359
ramp_only,1.583600e+00,4.591155e+05,0.000000e+00,4.591155e+05,1803.1044
ramp_only,1.591000e+00,4.541329e+05,0.000000e+00,4.541329e+05,1733.5456
ramp_only,1.598400e+00,4.495283e+05,0.000000e+00,4.495283e+05,1668.6364
ramp_only,1.605800e+00,4.452215e+05,0.000000e+00,4.452215e+05,1607.3904
ramp_only,1.613200e+00,4.411534e+05,0.000000e+00,4.411534e+05,1549.0819
ramp_only,1.620600e+00,4.372806e+05,0.000000e+00,4.372806e+05,1493.1649
ramp_only,1.628000e+00,4.335705e+05,0.000000e+00,4.335705e+05,1439.2447
ramp_only,1.635400e+00,4.299953e+05,0.000000e+00,4.299953e+05,1386.9743
ramp_only,1.642800e+00,4.265323e+05,0.000000e+00,4.265323e+05,1336.0594
ramp_only,1.650200e+00,4.231645e+05,0.000000e+00,4.231645e+05,1286.2259
ramp_only,1.657600e+00,4.198811e+05,0.000000e+00,4.198811e+05,1237.2606
ramp_only,1.665000e+00,4.166728e+05,0.000000e+00,4.166728e+05,1188.9686
ramp_only,1.672400e+00,4.135306e+05,0.000000e+00,4.135306e+05,1141.1872
ramp_only,1.679800e+00,4.104501e+05,0.000000e+00,4.104501e+05,1093.7868
ramp_only,1.687200e+00,4.074337e+05,0.000000e+00,4.074337e+05,1046.6304
ramp_only,1.694600e+00,4.044778e+05,0.000000e+00,4.044778e+05,1001.3848
ramp_only,1.702000e+00,4.012773e+05,0.000000e+00,4.012773e+05,963.6763
ramp_only,1.709400e+00,3.975184e+05,0.000000e+00,3.975184e+05,926.5469
ramp_only,1.716800e+00,3.929964e+05,0.000000e+00,3.929964e+05,886.7694
ramp_only,1.724200e+00,3.875738e+05,0.000000e+00,3.875738e+05,844.0034
ramp_only,1.731600e+00,3.811093e+05,0.000000e+00,3.811093e+05,798.3163
ramp_only,1.739000e+00,3.734375e+05,0.000000e+00,3.734375e+05,749.8134
ramp_only,1.746400e+00,3.643649e+05,0.000000e+00,3.643649e+05,698.6342
ramp_only,1.753800e+00,3.498478e+05,3.586168e+04,3.139862e+05,631.4691
ramp_only,1.761200e+00,3.337511e+05,9.756422e+04,2.361869e+05,559.2391
ramp_only,1.768600e+00,3.197508e+05,1.363421e+05,1.834088e+05,499.7543
ramp_only,1.776000e+00,3.059737e+05,1.628927e+05,1.430810e+05,446.4751
ramp_only,1.783400e+00,2.920980e+05,1.815763e+05,1.105217e+05,396.7445
ramp_only,1.790800e+00,2.781749e+05,1.944750e+05,8.369990e+04,349.4072
ramp_only,1.798200e+00,2.643359e+05,2.024740e+05,6.186188e+04,304.3316
ramp_only,1.805600e+00,2.505822e+05,2.057711e+05,4.481109e+04,262.3441
ramp_only,1.813000e+00,2.370747e+05,2.042909e+05,3.278380e+04,228.7413
ramp_only,1.820400e+00,2.250954e+05,1.999047e+05,2.519066e+04,205.7043
ramp_only,1.827800e+00,2.158387e+05,1.955681e+05,2.027055e+04,189.6525
ramp_only,1.835200e+00,2.083100e+05,1.914126e+05,1.689732e+04,176.8590
ramp_only,1.842600e+00,2.018568e+05,1.873799e+05,1.447693e+04,166.3770
ramp_only,1.850000e+00,1.961489e+05,1.834697e+05,1.267927e+04,157.5886
ramp_only,1.857400e+00,1.910025e+05,1.796996e+05,1.130297e+04,150.0733
ramp_only,1.864800e+00,1.863064e+05,1.760817e+05,1.022469e+04,143.5374
ramp_only,1.872200e+00,1.819881e+05,1.726245e+05,9.363654e+03,137.7660
ramp_only,1.879600e+00,1.779978e+05,1.693326e+05,8.665198e+03,132.5975
ramp_only,1.887000e+00,1.742989e+05,1.662084e+05,8.090455e+03,127.9033
ramp_only,1.894400e+00,1.708639e+05,1.632493e+05,7.614642e+03,123.5812
ramp_only,1.901800e+00,1.676711e+05,1.604543e+05,7.216831e+03,119.5474
ramp_only,1.909200e+00,1.647035e+05,1.578218e+05,6.881655e+03,115.7342
ramp_only,1.916600e+00,1.619475e+05,1.553487e+05,6.598733e+03,112.0821
ramp_only,1.924000e+00,1.593916e+05,1.530358e+05,6.355776e+03,108.3560
ramp_only,1.931400e+00,1.570135e+05,1.509192e+05,6.094293e+03,104.0449
