c1_ratio,B_uG,kappa,gs_seed,E_gs,E_gap_seeds,Fz,phase,phase_distance,spin_order,nematic_order,Q6,q6_maj,T2,T4,T6,T12,E_density_c0,E_spin_c1,E_ddi,E_zeeman,E_trap
0.0,100.0,1.6,polar,5.566557940105325,5.3163695667990396e-11,-5.882853010044524,ferromagnetic,unknown,0.999819524876908,2.910243194413023e-17,1.010207186148066,0.962797322938189,0.6282934513134386,0.20791534164385642,0.034160620887812736,2.101709929844089e-7,5.822264914713583,0.0,-0.12615856589505442,-8.703981041023823,8.391827317810144
0.0,0.0,1.9,polar,11.333665977091043,3.0186697586032096e-10,-2.8420675643632543e-12,ferromagnetic,unknown,0.9839361390458693,0.0017165586168642773,0.6147887178851648,0.5801784180396804,0.6082769267157586,0.2036648183914499,0.04011961620235357,0.0003469732392282016,8.804943571848359,0.0,-4.680385265658127,-2.0520527703038674e-6,6.698801739351018
0.0,25.0,1.9,stretched,11.132383533523985,0.06267450925049722,-1.0693548311535799,ferromagnetic,unknown,0.9841299135773025,1.8204024735309344e-6,0.6061841753028188,0.5713715199984899,0.6084252359819665,0.2035986005209774,0.03991512423942197,0.00027307847553454745,8.613719181783841,0.0,-4.396562935936362,-0.39554353070166803,6.801987478937232
0.0,40.0,1.9,stretched,10.794098502242415,0.04237129281094276,-1.962811490209006,ferromagnetic,unknown,0.9836244614431473,5.153526616029905e-7,0.558206864300381,0.5382145049664308,0.6069791340888588,0.20312716334425499,0.04048277202620893,0.00012233808649751284,8.241493979279383,0.0,-3.8280819218190394,-1.1616344968783805,7.030633203166531
0.0,48.0,1.9,polar,10.540761441914452,0.001578151723080623,-2.3244218293460506,ferromagnetic,unknown,0.9817812373318834,1.604434031161287e-7,0.5483084018970191,0.5312287893644461,0.6039341002492788,0.20240626804812517,0.041667130504273016,0.00011260509073908047,8.06975507281718,0.0,-3.5548532721750963,-1.650771145303316,7.157186403315416
0.0,55.0,1.9,stretched,10.249170829569138,1.5679939597390558e-5,-2.991527480063888,ferromagnetic,unknown,0.9832846571246343,4.3993461127186186e-8,0.34279682705207165,0.3531592883019237,0.6052282499164562,0.2027572831612857,0.04159407729090269,3.129441894042558e-5,7.707872597775194,0.0,-2.956472132955297,-2.434368434354201,7.422514932575395
0.0,62.0,1.9,stretched,9.922165321776372,3.843785371770991e-6,-3.327098254129229,ferromagnetic,unknown,0.9818643348106297,6.6821018886065765e-9,0.35446016989894646,0.3482618772506395,0.6028015001309264,0.20213834549862475,0.0426054430201272,2.80246018709908e-5,7.525093320060913,0.0,-2.63905044009965,-3.052031327878562,7.581081144534802
0.0,75.0,1.9,stretched,9.134058885333307,0.0015896875467689142,-4.689508338322468,ferromagnetic,unknown,0.9908042647530801,2.0789684505234473e-12,0.6465237445677335,0.6286684385401022,0.6144071945972364,0.20452535826700177,0.039401362901340754,1.106021320071617e-6,6.724565110902757,0.0,-1.1375769343216378,-5.203778070384612,8.330293870995524
0.0,100.0,1.9,polar,7.101669920853644,8.006839635754659e-11,-5.816244637161154,ferromagnetic,unknown,0.99913254496615,6.152606750833144e-14,0.8314892678281622,0.7968545978462951,0.6272427112225686,0.20766315455719073,0.03454892746078287,3.065065417951903e-7,6.065215748865654,0.0,0.2918397218947277,-8.605431318928266,9.132786281641632
0.0,0.0,2.2,polar,12.001653550703596,0.05157097431593094,-2.440706057399433e-13,ferromagnetic,unknown,0.9856444530232862,0.0015248591098942761,0.60627935506502,0.5701022823341109,0.6104037464567761,0.20410966373870879,0.03950301164204114,0.00030893211034198695,9.353057744734109,0.0,-4.980374646000321,-2.1634951258477937e-6,7.09526979301968
0.0,25.0,2.2,polar,11.874372160478979,0.006749897096460344,-0.6941061281468357,ferromagnetic,unknown,0.9859167319285943,0.001516232459795669,0.5944629287418379,0.5573070066416032,0.6108028394977745,0.20419934592691333,0.03936571122257871,0.0003075367938976685,9.236588619331938,0.0,-4.828035666396751,-0.2567438034844387,7.158244212154196
0.0,40.0,2.2,stretched,11.563536456410919,2.968214296572569e-8,-1.4295168439467894,ferromagnetic,unknown,0.9857885667871162,2.1719758585724384e-6,0.49802373446270315,0.4823935295808843,0.6104962191455241,0.20406383960780192,0.03929849137261199,0.00023959005256554607,8.977215636787303,0.0,-4.419537213002359,-0.8460199302001854,7.30711615583832
0.0,48.0,2.2,stretched,11.329634790589303,7.855738104467491e-7,-2.0240231650872813,ferromagnetic,unknown,0.9854287314988481,1.1242880871799245e-6,0.547677909658328,0.5289507011353595,0.6093669751757786,0.20366016815321702,0.03977492671220516,0.0001098673634009213,8.675223173041148,0.0,-3.9444924339184153,-1.4374326562947704,7.499014009846352
