c1_ratio,B_uG,kappa,gs_seed,E_gs,sigma0,sigma2,sigma4,sigma6,sigma8,sigma10,sigma12,mF,coh,fluxclosure,abschir,absLz,absFz,Jz,spin_mod,kspin,dens_mod,kdens
0.0277777778,40.0,1.9,stretched,10.5592937138442,2.0928877038826256e-6,0.0330090808349335,0.0324916244500226,0.046387550936482426,0.13906123924669453,0.29873220171497444,0.45031620992919025,0.6658165859043662,0.4591320179960898,0.17487174374232672,0.08248672815962312,0.006418062318811793,2.0409240796211945,-2.0345060173023826,0.02033831217749146,1.1708024551734542,0.036551921431511376,1.0471975511965976
0.0277777778,40.0,2.2,polar,11.323542346593964,2.471184209131126e-6,0.028376395770582107,0.029955809966550746,0.04639152167180889,0.10800775988553557,0.2462317138809574,0.5410343276403587,0.7263036252407914,0.41215524602285597,0.15081020426574734,0.0762739855231268,0.007496523439914698,1.7159507800351472,-1.7084542565952325,0.023958268387959315,1.1708024551734542,0.04999669415574457,1.0471975511965976
-0.015,48.0,1.0,polar,6.409854746304954,7.281708128667179e-19,2.3697271739603503e-18,1.5637275529801716e-18,4.619034818519385e-19,7.762430390252835e-20,5.321942909722203e-12,0.9999999999946727,0.9999999999983001,0.9509940405209755,0.3377370277179446,1.9806412909633703e-5,0.05432386570422496,5.945363576335019,-5.999687442039244,0.039357885019781366,0.9068996821171088,0.004842116368871599,1.0471975511965976
-0.015,48.0,1.3,stretched,8.355562883626035,1.057420083662063e-18,5.1537252108827676e-18,6.0248848774532215e-18,2.8019642436791032e-18,1.6911512615073513e-13,7.522081578592582e-10,0.9999999992476171,0.9999999997596127,0.6029752555620915,0.39580614965543165,0.025246518747895987,0.5350186165466297,5.461382307297017,-5.996400923843646,0.02457119088413475,0.9068996821171088,0.006337507437547472,0.9068996821171088
-0.015,48.0,1.6,stretched,9.663375097135924,4.784883694225025e-18,4.334363297992749e-15,1.09940797358534e-11,1.3493345192005984e-8,8.366221685974588e-6,0.002832554459251298,0.9971590658147187,0.9990898510402384,0.2125306794455014,0.2411001095747012,0.04882297438994378,0.4608456300714415,3.5573420097342123,-4.018187639805654,0.02438845324717083,1.0471975511965976,0.014028644411717289,1.0471975511965976
-0.015,48.0,1.9,stretched,10.614995927135942,1.0228873815597597e-15,5.766453163600553e-13,3.095724855233499e-10,8.326026852749939e-8,1.817773116936152e-5,0.003715604936176528,0.9962661337622378,0.9988016827794371,0.17969973348108378,0.17482511098424264,0.015939966176543828,0.25161768642821825,2.258622610464392,-2.0070049240361736,0.020499493095108647,1.0471975511965976,0.0361174708855893,1.0471975511965976
-0.015,48.0,2.2,polar,11.394323181043754,8.01091119495876e-16,3.274124455437777e-13,2.0518776877577702e-10,6.176958839752874e-8,1.4995184789431915e-5,0.0033855388416933773,0.9965994039984153,0.9989091171266667,0.17896545686101376,0.17265511490840948,0.01864946583501263,0.011543760416000345,2.0111012114907747,-1.9995574510747745,0.021224293716121483,1.1708024551734542,0.05014321828235146,1.0471975511965976
0.0,48.0,1.0,stretched,6.4096850551834175,5.644323010244347e-30,2.285352204224934e-29,3.7821597164320174e-26,2.8361249247510464e-22,5.982201077332989e-15,1.03066670590889e-10,0.9999999998969218,0.9999999999670726,0.9507570276390337,0.33748625180057185,2.081629871198715e-5,0.055297227297024576,5.9443627351872825,-5.999659962484307,0.039264873934181065,0.9068996821171088,0.004840963965455591,1.0471975511965976
0.0,48.0,1.3,polar,8.352507921296958,1.9678586957511469e-25,1.572048388760723e-23,3.134344715571612e-17,3.702959082256494e-16,2.238316990268916e-9,2.3123715802009888e-8,0.9999999746379609,0.9999999913075719,0.5907588168673523,0.3941072796928918,0.024393480694449302,0.5381133131080441,5.455420428448269,-5.9935337415563135,0.024535458516033393,0.9068996821171088,0.0063844750096397,0.9068996821171088
0.0,48.0,1.6,stretched,9.590886450411144,2.153069639559665e-15,2.953234205816782e-11,4.741337515450206e-8,1.5692836272139243e-5,0.0006334535107636489,0.020400921150071135,0.9789498850599839,0.9930770929023276,0.2187571487934819,0.2057638213762848,0.04829576213970733,0.04558064418091556,3.1491883422459686,-3.194768986426884,0.023849061478780395,1.0471975511965976,0.017023885340903006,1.0471975511965976
0.0,48.0,1.9,polar,10.540761441914452,6.529505858874046e-12,4.2172956955120205e-9,1.295346176680212e-6,3.9607693544760917e-5,0.0010108675650751103,0.02580693953601706,0.9731412856353634,0.9910942033101583,0.19905096383337206,0.1699182205520805,0.031777430103539984,0.21037835748849593,2.324421829346051,-2.114043471857555,0.019573316366382796,1.0471975511965976,0.035718099100137145,1.0471975511965976
0.0,48.0,2.2,stretched,11.329634790589303,3.1956774314003755e-12,2.494043377768904e-9,7.445456650348999e-7,2.7315061537684557e-5,0.0008131133917821185,0.023762827767539286,0.9753959967362398,0.9918794789015498,0.19847077475126768,0.1690710318272713,0.03354809221724375,0.001900971854582668,2.0240231650872818,-2.0259241369418644,0.021311644291216417,1.1708024551734542,0.04971799050903382,1.0471975511965976
0.0277777778,48.0,1.0,stretched,6.408893200863432,0.0005305318074230891,0.0016673527710541042,0.0009931085422999293,0.00023496094852079786,3.3965526216805635e-5,5.429688489553081e-5,0.9964857835195843,0.996521275986789,0.947767045160082,0.33691970707616486,2.406080796847394e-5,0.059252917027018084,5.902292579133918,-5.9615454961609355,0.03893492535953284,0.9068996821171088,0.004801978725175721,1.0471975511965976
0.0277777778,48.0,1.3,stretched,8.159712284975686,0.0037585219112478774,0.006574177055852084,0.01090782996389821,0.019112214484376014,0.033572361314411804,0.0703165692322247,0.8557583260379847,0.9182610842878932,0.8299903254919794,0.37008624525937567,0.0018312055975392377,0.08976831616875988,4.311375284099632,-4.401143600268392,0.03442389749297786,1.282549830161864,0.002760213127800866,1.0471975511965976
0.0277777778,48.0,1.6,stretched,9.343280661324377,4.5399742976595886e-5,2.9946797815723026e-5,0.08344830799760788,0.06644939151194595,0.12847842662480202,0.4054464874189188,0.3161020399059375,0.5727795150093532,0.5835531591668373,0.25797894558995726,0.07497540678841395,0.08329613150020922,3.1666514167935125,-3.2499475482937217,0.021002929802861905,1.0471975511965976,0.01710457928500817,1.0471975511965976
0.0277777778,48.0,1.9,stretched,10.287775724454962,8.939654958193254e-7,0.03600268088138335,0.03265887996719885,0.042119443829244714,0.1819544784397133,0.3441958565238846,0.36306776639307903,0.6036813976215194,0.5134847207998802,0.22673874570700928,0.07341495842302001,0.030966558499476587,2.5487992024919075,-2.579765760991384,0.020589816188467235,1.1708024551734542,0.0341458070130438,1.0471975511965976
0.0277777778,48.0,2.2,stretched,11.095199379168134,2.210089276150968e-6,0.029391513714303864,0.03000333129907333,0.04490901263566644,0.12626130867961116,0.28354845576228516,0.485884167819786,0.6946388827780606,0.4321071218835706,0.19207331915538745,0.06999370739251595,0.015675858627150197,2.1444545642519337,-2.160130422879084,0.023918883570952492,1.1708024551734542,0.048494397183495665,1.0471975511965976
-0.015,55.0,1.0,polar,5.793602221219788,2.033412978323674e-19,4.228243328592753e-18,7.56562757923921e-18,3.808948085140803e-18,7.276033901320157e-19,3.39051876762112e-12,0.999999999996604,0.9999999999989169,0.9586405073750043,0.33895385521515536,1.536816296212601e-5,0.04518955392280634,5.954563135137041,-5.999752689059847,0.03963201432693833,0.9068996821171088,0.0048738605699638286,1.0471975511965976
-0.015,55.0,1.3,stretched,7.773486293276521,5.118278260673497e-19,2.1620903954906594e-18,2.7214788459971277e-18,1.6239306865752097e-18,4.698415449495115e-16,2.4947178644270934e-10,0.9999999997505226,0.9999999999203077,0.8072810067033694,0.44111317296286817,0.004305613533195349,0.22780624611835015,5.770323320244757,-5.998129566363107,0.02882458526505391,0.9068996821171088,0.006182179097354121,0.9068996821171088
-0.015,55.0,1.6,polar,9.276585695632514,5.188810528789727e-17,3.142754080426369e-15,7.194214455218552e-12,9.209499406635347e-9,6.226706285518608e-6,0.0023721142360969534,0.9976216498409197,0.9992383116581413,0.22745947458507673,0.2633047977708227,0.039648042554758366,0.1466959843161928,3.912834224756441,-4.0595302090726335,0.024478698671683532,1.0471975511965976,0.011850472475150645,1.0471975511965976
-0.015,55.0,1.9,stretched,10.315422323325631,2.9660539846524586e-16,6.683683523822099e-14,5.97765292808641e-11,3.277952174297133e-8,1.085528627311475e-5,0.0029674765007354446,0.9970216353736269,0.9990452420791703,0.19200324401694244,0.2203618113129959,0.030936671370158805,0.06293000975750959,2.959773664278585,-3.0227036740360944,0.020106531027528574,1.0471975511965976,0.031400231579543504,1.0471975511965976
-0.015,55.0,2.2,polar,11.17303894031338,8.367275324411147e-16,3.54120225823282e-13,2.1309737729260464e-10,6.311205942866312e-8,1.5165608769597845e-5,0.003400760727247516,0.9965840103384733,0.998904148663262,0.17748609753539754,0.1898264313247572,0.012962598544598766,0.2627106452367604,2.2638424766665497,-2.0011318314297895,0.020664373542745956,1.1708024551734542,0.048914909270757895,1.0471975511965976
0.0,55.0,1.0,polar,5.7935068938232455,1.0217028882215827e-28,4.223913216654785e-28,1.5195381861199382e-27,2.5960286413730233e-23,1.0946974728947932e-15,5.686152740875772e-11,0.9999999999431315,0.9999999999818351,0.9585542331642994,0.33881348635927355,1.583164592788147e-5,0.04567850601154676,5.95406147303793,-5.999739979049477,0.039579927717592604,0.9068996821171088,0.004873245062907874,1.0471975511965976
