N0,T,cf
1.75875e+05,45.235,0.9657
1.87955e+05,62.900,0.9711
2.51932e+05,52.156,0.9676
1.55516e+05,44.355,0.9496
1.01311e+05,43.103,0.9393
3.45261e+05,53.193,0.9797
1.75376e+05,50.816,0.9608
1.69889e+04,81.736,0.7808
5.58831e+04,53.492,0.9047
1.31973e+05,44.442,0.9631
2.61613e+05,47.436,0.9756
4.17543e+04,58.367,0.9166
3.96740e+04,42.034,0.7997
1.15398e+05,55.592,0.9554
3.46885e+05,49.791,0.9854
2.80864e+05,53.501,0.9818
2.17622e+05,47.686,0.9667
1.67788e+05,44.849,0.9532
2.15070e+04,64.120,0.8258
3.15211e+05,68.687,0.9864
1.63381e+05,44.379,0.9547
5.59434e+04,51.476,0.8894
2.17482e+05,39.843,0.9654
2.13808e+05,56.985,0.9816
9.17424e+04,54.070,0.9321
6.72346e+04,48.782,0.9265
3.00074e+05,58.840,0.9839
2.35118e+04,56.831,0.8651
9.70563e+04,47.518,0.9446
4.01256e+04,50.729,0.8295
1.66310e+05,58.629,0.9645
1.36074e+05,62.402,0.9535
2.16145e+05,43.249,0.9597
2.75688e+05,55.572,0.9827
4.28589e+04,45.075,0.8437
8.21984e+04,45.623,0.8983
2.68283e+05,57.339,0.9784
4.18133e+04,49.242,0.8424
7.33264e+04,47.303,0.9244
1.34499e+05,49.831,0.9493
9.43080e+04,52.406,0.9476
9.09900e+04,58.087,0.8951
1.87631e+04,54.338,0.7422
7.72116e+04,47.481,0.9378
1.82217e+05,65.834,0.9745
1.10629e+05,51.624,0.9503
7.74534e+04,53.950,0.9323
3.23805e+05,56.658,0.9812
1.41067e+05,49.053,0.9609
2.09207e+05,58.434,0.9827
1.93139e+05,37.678,0.9524
3.89785e+04,50.466,0.8728
3.21523e+05,57.136,0.9849
1.28399e+05,44.493,0.9418
1.60788e+05,56.199,0.9764
2.35256e+05,64.553,0.9776
3.72760e+05,46.005,0.9839
4.19448e+04,56.976,0.8825
4.76875e+04,49.731,0.8673
2.37698e+05,50.059,0.9684
8.38925e+04,51.780,0.9109
5.14851e+04,44.886,0.8772
4.65325e+04,49.329,0.8561
2.07820e+04,54.547,0.8473
2.73893e+04,63.700,0.8291
1.63809e+05,61.855,0.9617
3.33877e+05,60.258,0.9868
1.17452e+05,53.505,0.9558
3.10913e+04,43.047,0.7642
2.27592e+04,45.442,0.8098
3.02252e+05,53.662,0.9784
2.83062e+04,50.650,0.8717
8.44389e+04,72.110,0.9444
1.31925e+05,53.596,0.9628
1.42718e+05,61.055,0.9667
2.19062e+05,50.506,0.9672
8.86465e+04,55.841,0.9352
4.53559e+04,51.946,0.8919
1.96986e+04,52.338,0.7608
1.41844e+05,41.614,0.9536
3.75427e+04,53.695,0.8535
2.00101e+05,51.755,0.9706
1.26570e+05,42.881,0.9422
2.68352e+05,46.815,0.9726
2.87764e+04,44.211,0.8245
1.64227e+05,50.780,0.9697
1.82720e+04,53.543,0.7143
