Omega,frame,t,norm,Fz,Lz,peak,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
-0.5000,52,5.140000e+00,9.980094e-01,3.181302e+00,,NaN,1.026948e-01,2.005857e-01,2.236196e-01,1.698028e-01,1.059858e-01,7.206639e-02,5.492193e-02,3.747070e-02,2.059606e-02,8.916309e-03,2.778166e-03,5.192668e-04,4.237228e-05
-0.5000,53,5.240000e+00,9.979522e-01,3.111329e+00,,NaN,9.665580e-02,1.932230e-01,2.218433e-01,1.740328e-01,1.098575e-01,7.303431e-02,5.569194e-02,3.936212e-02,2.239167e-02,9.971084e-03,3.238894e-03,6.418620e-04,5.565088e-05
-0.5000,54,5.340000e+00,9.978945e-01,3.043151e+00,,NaN,9.131371e-02,1.862312e-01,2.193351e-01,1.775612e-01,1.139717e-01,7.441905e-02,5.631685e-02,4.102189e-02,2.417613e-02,1.106399e-02,3.732415e-03,7.841445e-04,7.266930e-05
-0.5000,55,5.440000e+00,9.978378e-01,2.976731e+00,,NaN,8.659630e-02,1.796812e-01,2.162056e-01,1.802864e-01,1.181547e-01,7.629359e-02,5.695959e-02,4.244854e-02,2.590493e-02,1.218002e-02,4.250259e-03,9.448535e-04,9.398779e-05
-0.5000,56,5.540000e+00,9.977834e-01,2.911896e+00,,NaN,8.241377e-02,1.735857e-01,2.125895e-01,1.822109e-01,1.222433e-01,7.862821e-02,5.776537e-02,4.368936e-02,2.754535e-02,1.330330e-02,4.783704e-03,1.121487e-03,1.199832e-04
-0.5000,57,5.640000e+00,9.977321e-01,2.848432e+00,,NaN,7.867930e-02,1.679195e-01,2.086116e-01,1.834062e-01,1.261297e-01,8.132367e-02,5.881770e-02,4.481779e-02,2.908594e-02,1.442143e-02,5.325482e-03,1.310854e-03,1.508071e-04
-0.5000,58,5.740000e+00,9.976845e-01,2.786144e+00,,NaN,7.531952e-02,1.626433e-01,2.043769e-01,1.839640e-01,1.297613e-01,8.426456e-02,6.013559e-02,4.590518e-02,3.053432e-02,1.552815e-02,5.871065e-03,1.509777e-03,1.864097e-04
-0.5000,59,5.840000e+00,9.976405e-01,2.724893e+00,,NaN,7.227728e-02,1.577176e-01,1.999726e-01,1.839686e-01,1.331193e-01,8.735291e-02,6.169562e-02,4.700388e-02,3.190826e-02,1.662281e-02,6.418872e-03,1.715655e-03,2.266197e-04
-0.5000,60,5.940000e+00,9.975998e-01,2.664602e+00,,NaN,6.951099e-02,1.531087e-01,1.954707e-01,1.834887e-01,1.361986e-01,9.051915e-02,6.345653e-02,4.814377e-02,3.322724e-02,1.770808e-02,6.969567e-03,1.926689e-03,2.712326e-04
-0.5000,61,6.040000e+00,9.975620e-01,2.605264e+00,,1.099837e-02,6.699296e-02,1.487919e-01,1.909305e-01,1.825750e-01,1.389948e-01,9.372010e-02,6.537649e-02,4.933618e-02,3.450735e-02,1.878776e-02,7.525052e-03,2.141766e-03,3.200580e-04
-0.5000,62,6.140000e+00,9.975265e-01,2.546929e+00,,NaN,6.470611e-02,1.447501e-01,1.864048e-01,1.812668e-01,1.414960e-01,9.692942e-02,6.742150e-02,5.057999e-02,3.575938e-02,1.986528e-02,8.087640e-03,2.360179e-03,3.729158e-04
-0.5000,63,6.240000e+00,9.974927e-01,2.489695e+00,,NaN,6.263925e-02,1.409671e-01,1.819428e-01,1.796045e-01,1.436832e-01,1.001266e-01,6.956694e-02,5.186739e-02,3.698858e-02,2.094287e-02,8.659636e-03,2.581422e-03,4.295929e-04
-0.5000,64,6.340000e+00,9.974602e-01,2.433686e+00,,NaN,6.078337e-02,1.374244e-01,1.775918e-01,1.776377e-01,1.455353e-01,1.032893e-01,7.179555e-02,5.318788e-02,3.819537e-02,2.202104e-02,9.243250e-03,2.805187e-03,4.898072e-04
-0.5000,65,6.440000e+00,9.974283e-01,2.379045e+00,,NaN,5.912969e-02,1.341006e-01,1.733967e-01,1.754261e-01,1.470310e-01,1.063895e-01,7.409493e-02,5.453115e-02,3.937678e-02,2.309846e-02,9.840484e-03,3.031491e-03,5.532152e-04
-0.5000,66,6.540000e+00,9.973967e-01,2.325920e+00,,NaN,5.766829e-02,1.309738e-01,1.693997e-01,1.730365e-01,1.481520e-01,1.093931e-01,7.645523e-02,5.588820e-02,4.052783e-02,2.417227e-02,1.045290e-02,3.260763e-03,6.194606e-04
-0.5000,67,6.640000e+00,9.973648e-01,2.274459e+00,,NaN,5.638627e-02,1.280216e-01,1.656409e-01,1.705414e-01,1.488855e-01,1.122608e-01,7.886766e-02,5.725144e-02,4.164204e-02,2.523871e-02,1.108152e-02,3.493865e-03,6.882372e-04
-0.5000,68,6.740000e+00,9.973322e-01,2.224784e+00,,NaN,5.526454e-02,1.252207e-01,1.621584e-01,1.680178e-01,1.492277e-01,1.149486e-01,8.132297e-02,5.861473e-02,4.271164e-02,2.629416e-02,1.172726e-02,3.732124e-03,7.593539e-04
-0.5000,69,6.840000e+00,9.972984e-01,2.176949e+00,,NaN,5.427417e-02,1.225448e-01,1.589867e-01,1.655467e-01,1.491876e-01,1.174088e-01,8.380892e-02,5.997455e-02,4.372893e-02,2.733665e-02,1.239190e-02,3.977498e-03,8.327902e-04
-0.5000,70,6.940000e+00,9.972631e-01,2.130871e+00,,NaN,5.337240e-02,1.199607e-01,1.561534e-01,1.632117e-01,1.487929e-01,1.195924e-01,8.630720e-02,6.133186e-02,4.468943e-02,2.836734e-02,1.307919e-02,4.232787e-03,9.087315e-04
-0.5000,71,7.040000e+00,9.972260e-01,2.086259e+00,,1.264687e-02,5.249859e-02,1.174238e-01,1.536732e-01,1.610961e-01,1.480955e-01,1.214562e-01,8.879012e-02,6.269420e-02,4.559639e-02,2.939126e-02,1.379530e-02,4.501737e-03,9.875824e-04
-0.5000,72,7.140000e+00,9.971868e-01,2.042587e+00,,NaN,5.157490e-02,1.148817e-01,1.515427e-01,1.592739e-01,1.471734e-01,1.229680e-01,9.121930e-02,6.407719e-02,4.646478e-02,3.041699e-02,1.454824e-02,4.788987e-03,1.069985e-03
-0.5000,73,7.240000e+00,9.971455e-01,1.999149e+00,,NaN,5.051608e-02,1.122833e-01,1.497365e-01,1.577981e-01,1.461230e-01,1.241117e-01,9.354805e-02,6.550293e-02,4.732183e-02,3.145525e-02,1.534650e-02,5.099920e-03,1.156879e-03
-0.5000,74,7.340000e+00,9.971021e-01,1.955195e+00,,NaN,4.924675e-02,1.095921e-01,1.482073e-01,1.566893e-01,1.450474e-01,1.248907e-01,9.572450e-02,6.699254e-02,4.820321e-02,3.251803e-02,1.619807e-02,5.440534e-03,1.249605e-03
-0.5000,75,7.440000e+00,9.970567e-01,1.910093e+00,,NaN,4.771836e-02,1.067954e-01,1.468918e-01,1.559334e-01,1.440419e-01,1.253269e-01,9.769458e-02,6.855362e-02,4.914660e-02,3.361984e-02,1.711041e-02,5.817241e-03,1.349944e-03
-0.5000,76,7.540000e+00,9.970093e-01,1.863487e+00,,NaN,4.592090e-02,1.039098e-01,1.457221e-01,1.554893e-01,1.431799e-01,1.254569e-01,9.940626e-02,7.016787e-02,5.018158e-02,3.477793e-02,1.809091e-02,6.236446e-03,1.459991e-03
-0.5000,77,7.640000e+00,9.969602e-01,1.815459e+00,,NaN,4.388776e-02,1.009806e-01,1.446410e-01,1.553037e-01,1.425033e-01,1.253255e-01,1.008143e-01,7.178655e-02,5.131682e-02,3.600721e-02,1.914714e-02,6.704181e-03,1.581912e-03
-0.5000,78,7.740000e+00,9.969097e-01,1.766562e+00,,NaN,4.169024e-02,9.806997e-02,1.436098e-01,1.553269e-01,1.420268e-01,1.249821e-01,1.018858e-01,7.333723e-02,5.253133e-02,3.731118e-02,2.028502e-02,7.225823e-03,1.717713e-03
-0.5000,79,7.840000e+00,9.968582e-01,1.717649e+00,,NaN,3.942025e-02,9.523568e-02,1.426032e-01,1.555156e-01,1.417516e-01,1.244894e-01,1.026098e-01,7.474027e-02,5.377744e-02,3.867640e-02,2.150551e-02,7.805653e-03,1.869164e-03
