K3_m6_s,timing_strength,decompress_factor,N0_final
9.999999999999999e-43,0.8181818181818182,0.9181818181818182,75575.99337309808
9.999999999999999e-43,0.8181818181818182,1.0,75086.22262389142
9.999999999999999e-43,0.9090909090909091,0.1,82430.25793459991
9.999999999999999e-43,0.9090909090909091,0.18181818181818182,81889.9602203053
9.999999999999999e-43,0.9090909090909091,0.2636363636363636,81354.42718247903
9.999999999999999e-43,0.9090909090909091,0.34545454545454546,80800.58080252535
9.999999999999999e-43,0.9090909090909091,0.42727272727272725,80260.29748623773
9.999999999999999e-43,0.9090909090909091,0.509090909090909,79727.25644005234
9.999999999999999e-43,0.9090909090909091,0.5909090909090909,79211.58471561284
9.999999999999999e-43,0.9090909090909091,0.6727272727272727,78706.45509939379
9.999999999999999e-43,0.9090909090909091,0.7545454545454545,78230.81247529993
9.999999999999999e-43,0.9090909090909091,0.8363636363636363,77769.58656806947
9.999999999999999e-43,0.9090909090909091,0.9181818181818182,77236.6371546882
9.999999999999999e-43,0.9090909090909091,1.0,76655.03626970558
9.999999999999999e-43,1.0,0.1,84699.01864168442
9.999999999999999e-43,1.0,0.18181818181818182,84104.26661296915
9.999999999999999e-43,1.0,0.2636363636363636,83510.4132669698
9.999999999999999e-43,1.0,0.34545454545454546,82923.80144661004
9.999999999999999e-43,1.0,0.42727272727272725,82327.24388139142
9.999999999999999e-43,1.0,0.509090909090909,81736.33655546012
9.999999999999999e-43,1.0,0.5909090909090909,81167.88363505084
9.999999999999999e-43,1.0,0.6727272727272727,80612.07949123831
9.999999999999999e-43,1.0,0.7545454545454545,80087.10424431425
9.999999999999999e-43,1.0,0.8363636363636363,79558.28438883708
9.999999999999999e-43,1.0,0.9181818181818182,79011.92504271363
9.999999999999999e-43,1.0,1.0,78414.84486664197
1.3870919878509274e-42,0.0,0.1,67716.77816216701
1.3870919878509274e-42,0.0,0.18181818181818182,67304.93493336964
1.3870919878509274e-42,0.0,0.2636363636363636,66878.3786204305
1.3870919878509274e-42,0.0,0.34545454545454546,66443.93664225226
1.3870919878509274e-42,0.0,0.42727272727272725,66004.29526748197
1.3870919878509274e-42,0.0,0.509090909090909,65561.0450567747
1.3870919878509274e-42,0.0,0.5909090909090909,65115.30294060852
1.3870919878509274e-42,0.0,0.6727272727272727,64667.92237286287
1.3870919878509274e-42,0.0,0.7545454545454545,64219.58737968579
1.3870919878509274e-42,0.0,0.8363636363636363,63770.86282008492
1.3870919878509274e-42,0.0,0.9181818181818182,63322.22462944538
1.3870919878509274e-42,0.0,1.0,62874.0795900207
1.3870919878509274e-42,0.09090909090909091,0.1,65149.94415066311
1.3870919878509274e-42,0.09090909090909091,0.18181818181818182,64745.23463496474
1.3870919878509274e-42,0.09090909090909091,0.2636363636363636,64326.45819038997
1.3870919878509274e-42,0.09090909090909091,0.34545454545454546,63900.12566064757
1.3870919878509274e-42,0.09090909090909091,0.42727272727272725,63468.829966494355
1.3870919878509274e-42,0.09090909090909091,0.509090909090909,63034.117386808044
1.3870919878509274e-42,0.09090909090909091,0.5909090909090909,62597.07783849048
1.3870919878509274e-42,0.09090909090909091,0.6727272727272727,62158.545685631834
1.3870919878509274e-42,0.09090909090909091,0.7545454545454545,61719.190186811116
1.3870919878509274e-42,0.09090909090909091,0.8363636363636363,61279.56409227449
1.3870919878509274e-42,0.09090909090909091,0.9181818181818182,60840.133012716615
1.3870919878509274e-42,0.09090909090909091,1.0,60401.29468294738
1.3870919878509274e-42,0.18181818181818182,0.1,63429.7385445789
1.3870919878509274e-42,0.18181818181818182,0.18181818181818182,63024.13515497463
1.3870919878509274e-42,0.18181818181818182,0.2636363636363636,62604.981028176946
1.3870919878509274e-42,0.18181818181818182,0.34545454545454546,62178.52391534555
1.3870919878509274e-42,0.18181818181818182,0.42727272727272725,61747.29686528547
1.3870919878509274e-42,0.18181818181818182,0.509090909090909,61312.82604710428
1.3870919878509274e-42,0.18181818181818182,0.5909090909090909,60876.192934155006
1.3870919878509274e-42,0.18181818181818182,0.6727272727272727,60438.22758063242
1.3870919878509274e-42,0.18181818181818182,0.7545454545454545,59999.596511342104
1.3870919878509274e-42,0.18181818181818182,0.8363636363636363,59560.85031850749
1.3870919878509274e-42,0.18181818181818182,0.9181818181818182,59122.45260558322
1.3870919878509274e-42,0.18181818181818182,1.0,58684.79906431136
1.3870919878509274e-42,0.2727272727272727,0.1,62503.408498423145
1.3870919878509274e-42,0.2727272727272727,0.18181818181818182,62089.934268815334
1.3870919878509274e-42,0.2727272727272727,0.2636363636363636,61662.47175875099
1.3870919878509274e-42,0.2727272727272727,0.34545454545454546,61227.646770492465
1.3870919878509274e-42,0.2727272727272727,0.42727272727272725,60788.107799178695
1.3870919878509274e-42,0.2727272727272727,0.509090909090909,60345.43676841329
1.3870919878509274e-42,0.2727272727272727,0.5909090909090909,59900.74872636583
1.3870919878509274e-42,0.2727272727272727,0.6727272727272727,59454.89639817213
1.3870919878509274e-42,0.2727272727272727,0.7545454545454545,59008.56257248347
1.3870919878509274e-42,0.2727272727272727,0.8363636363636363,58562.30987115902
1.3870919878509274e-42,0.2727272727272727,0.9181818181818182,58116.61089964215
1.3870919878509274e-42,0.2727272727272727,1.0,57671.86806710567
1.3870919878509274e-42,0.36363636363636365,0.1,62201.77342636757
