t_s,nu_Hz,T_K,T_ideal_K,T_over_Tc,cond_frac
0.09253333333318059,108.17022394096131,1.0610204052193463e-7,1.1805800504758095e-7,0.8126551302872022,0.46287015246337565
0.09426666666651373,107.38767541442917,1.05339868075472e-7,1.1720392418753086e-7,0.8133321809954626,0.46158177276879414
0.09599999999984687,106.59938233588348,1.0457550952788647e-7,1.1634357366910433e-7,0.8140228303258157,0.46035243478371624
0.09773333333318002,105.80521630746257,1.0380020853103767e-7,1.1547681335766127e-7,0.814660572427768,0.4593189929767264
0.09946666666651316,105.00504407573008,1.0301300022959542e-7,1.1460349781914148e-7,0.8152376875141764,0.4579197942015659
0.1011999999998463,104.19872727064903,1.0221453320148085e-7,1.137234760351784e-7,0.8157589685075882,0.4566919210070143
0.10293333333317944,103.38612212623207,1.0141327165244047e-7,1.1283659109821435e-7,0.816293152721008,0.455532514360063
0.10466666666651259,102.56707918127165,1.0061194771036468e-7,1.1194267988487435e-7,0.8168646039140602,0.45439793662763484
0.10639999999984573,101.74144295838508,9.981051687714605e-8,1.110415727056731e-7,0.8174758144786948,0.45328846584096005
0.10813333333317887,100.90905161942312,9.900152679731925e-8,1.1013309292892448e-7,0.8180682824435548,0.4523272003895254
0.10986666666651201,100.06973659507891,9.817856133019018e-8,1.092170565764933e-7,0.8185902028709283,0.45131928558679024
0.11159999999984516,99.22332218629626,9.734173592100888e-8,1.0829327188876866e-7,0.8190416612881841,0.45011122995755093
0.1133333333331783,98.36962513480789,9.649503914430055e-8,1.0736153885594505e-7,0.8194567698430361,0.44909148796706133
0.11506666666651144,97.5084541598302,9.564801713713841e-8,1.0642164871236696e-7,0.8199186792631044,0.44809943822431547
0.11679999999984458,96.63960945759655,9.480093958708726e-8,1.0547338339031447e-7,0.8204333532406046,0.44713008103029656
0.11853333333317773,95.7628821600199,9.395179422669695e-8,1.045165149291828e-7,0.8209871363012896,0.44621856116149017
0.12026666666651087,94.87805374832968,9.308812617717457e-8,1.0355080483551985e-7,0.8214739983502201,0.4455876997232137
0.12199999999984401,93.98489541701905,9.220788109147847e-8,1.0257600338883238e-7,0.8218758891887497,0.44445235415373235
0.12373333333317715,93.08316738285761,9.13115079962792e-8,1.0159184888743576e-7,0.8221961117515368,0.4434817495554718
0.1254666666665103,92.17261813305598,9.04101375042497e-8,1.0059806682789391e-7,0.8225365402658475,0.4426223029123013
0.12719999999984344,91.25298360590318,8.950871677048257e-8,9.959436901075901e-8,0.8229462854048398,0.44178410408542773
0.12893333333317658,90.32398629631174,8.860724723228342e-8,9.85804525643551e-8,0.8234306942344992,0.44096672207660675
0.13066666666650972,89.38533427768445,8.769667467588068e-8,9.755599887723409e-8,0.8239105032934065,0.44034296831427505
0.13239999999984287,88.43672013033084,8.676588561983055e-8,9.652067242863948e-8,0.8242837582365315,0.4397486867484613
0.134133333333176,87.47781976528415,8.58149883182519e-8,9.547411950480902e-8,0.8245503345168151,0.43867072428037673
