T0_uK,K3_m6_s,value
40.51282051282051,1.3847753058820664e-40,12903.959311238608
40.51282051282051,1.7158635894253092e-40,11268.027513297826
40.51282051282051,2.126112333899673e-40,8342.777242494754
40.51282051282051,2.634448148570035e-40,2022.4712541992885
40.51282051282051,3.2643228379068263e-40,0.0
40.51282051282051,4.044795338205457e-40,0.0
40.51282051282051,5.0118723362727555e-40,0.0
43.07692307692308,9.999999999999999e-43,112008.1266116989
43.07692307692308,1.2390917011134509e-42,100290.17905373298
43.07692307692308,1.5353482437682257e-42,89623.34056849667
43.07692307692308,1.90243726717232e-42,80042.10369644254
43.07692307692308,2.3572942296421748e-42,71523.8102779157
43.07692307692308,2.920903717032244e-42,64001.27367648967
43.07692307692308,3.619267555526085e-42,57391.69361749189
43.07692307692308,4.484604392161538e-42,51595.42580179575
43.07692307692308,5.556836085104294e-42,46515.80662725247
43.07692307692308,6.885429477500488e-42,42061.27956176499
43.07692307692308,8.53167852417278e-42,38142.85524867386
43.07692307692308,1.0571532055870346e-41,34688.467148345604
43.07692307692308,1.3099097638483763e-41,31630.94732455213
43.07692307692308,1.6230983175920034e-41,28910.621369533626
43.07692307692308,2.0111676554194557e-41,26481.346565538777
43.07692307692308,2.492021151378044e-41,24303.86434799763
43.07692307692308,3.087842727671721e-41,22341.205489058317
43.07692307692308,3.8261202982015517e-41,20562.333202545626
43.07692307692308,4.740913908963265e-41,18954.59943829789
43.07692307692308,5.874427080289712e-41,17537.517024771936
43.07692307692308,7.278953843983101e-41,16276.193196206488
43.07692307692308,9.019291300867314e-41,15138.526875563746
43.07692307692308,1.117572900082943e-40,14070.69887428766
43.07692307692308,1.3847753058820664e-40,12901.916474814265
43.07692307692308,1.7158635894253092e-40,11226.885051307629
43.07692307692308,2.126112333899673e-40,8251.908316080315
43.07692307692308,2.634448148570035e-40,1850.721274672651
43.07692307692308,3.2643228379068263e-40,0.0
43.07692307692308,4.044795338205457e-40,0.0
43.07692307692308,5.0118723362727555e-40,0.0
45.641025641025635,9.999999999999999e-43,108715.42440539862
45.641025641025635,1.2390917011134509e-42,98258.90537362924
45.641025641025635,1.5353482437682257e-42,88470.99605894611
45.641025641025635,1.90243726717232e-42,79450.3094900462
45.641025641025635,2.3572942296421748e-42,71267.44365632233
45.641025641025635,2.920903717032244e-42,63930.223572089184
45.641025641025635,3.619267555526085e-42,57418.023927357375
45.641025641025635,4.484604392161538e-42,51660.768005544865
45.641025641025635,5.556836085104294e-42,46592.751017716364
45.641025641025635,6.885429477500488e-42,42137.90318048625
45.641025641025635,8.53167852417278e-42,38214.35537007129
45.641025641025635,1.0571532055870346e-41,34751.88818756497
45.641025641025635,1.3099097638483763e-41,31688.580756824864
45.641025641025635,1.6230983175920034e-41,28966.06503691595
45.641025641025635,2.0111676554194557e-41,26534.68028885215
45.641025641025635,2.492021151378044e-41,24356.159389602828
45.641025641025635,3.087842727671721e-41,22391.675583782373
45.641025641025635,3.8261202982015517e-41,20610.153281723353
45.641025641025635,4.740913908963265e-41,19005.635401767795
45.641025641025635,5.874427080289712e-41,17586.499336278866
45.641025641025635,7.278953843983101e-41,16319.04956439542
45.641025641025635,9.019291300867314e-41,15174.50275969873
45.641025641025635,1.117572900082943e-40,14087.975294230573
45.641025641025635,1.3847753058820664e-40,12885.430446329148
45.641025641025635,1.7158635894253092e-40,11162.057013017951
45.641025641025635,2.126112333899673e-40,8104.146721584557
45.641025641025635,2.634448148570035e-40,1552.493725043245
45.641025641025635,3.2643228379068263e-40,0.0
45.641025641025635,4.044795338205457e-40,0.0
45.641025641025635,5.0118723362727555e-40,0.0
48.205128205128204,9.999999999999999e-43,103072.54417604138
48.205128205128204,1.2390917011134509e-42,94447.10560842892
48.205128205128204,1.5353482437682257e-42,86031.84350815171
48.205128205128204,1.90243726717232e-42,78004.79364228001
48.205128205128204,2.3572942296421748e-42,70492.33894465721
48.205128205128204,2.920903717032244e-42,63577.565755262265
48.205128205128204,3.619267555526085e-42,57312.29999996895
48.205128205128204,4.484604392161538e-42,51687.2374892404
48.205128205128204,5.556836085104294e-42,46683.85010002175
48.205128205128204,6.885429477500488e-42,42247.959270858555
48.205128205128204,8.53167852417278e-42,38329.69420481245
48.205128205128204,1.0571532055870346e-41,34863.87109475492
48.205128205128204,1.3099097638483763e-41,31793.013197550663
48.205128205128204,1.6230983175920034e-41,29064.872420190164
48.205128205128204,2.0111676554194557e-41,26628.135080147615
48.205128205128204,2.492021151378044e-41,24447.906721611864
48.205128205128204,3.087842727671721e-41,22479.942943351525
48.205128205128204,3.8261202982015517e-41,20694.866617465806
48.205128205128204,4.740913908963265e-41,19094.780445356395
48.205128205128204,5.874427080289712e-41,17672.987329670545
48.205128205128204,7.278953843983101e-41,16393.497778511304
48.205128205128204,9.019291300867314e-41,15226.273862064081
48.205128205128204,1.117572900082943e-40,14104.851224449882
48.205128205128204,1.3847753058820664e-40,12857.189133111502
48.205128205128204,1.7158635894253092e-40,11049.801820569499
48.205128205128204,2.126112333899673e-40,7847.717942717092
48.205128205128204,2.634448148570035e-40,1028.5816758938927
48.205128205128204,3.2643228379068263e-40,0.0
48.205128205128204,4.044795338205457e-40,0.0
48.205128205128204,5.0118723362727555e-40,0.0
50.769230769230774,9.999999999999999e-43,94231.52216649236
50.769230769230774,1.2390917011134509e-42,87876.88678148936
50.769230769230774,1.5353482437682257e-42,81364.31175135642
50.769230769230774,1.90243726717232e-42,74872.02599093708
50.769230769230774,2.3572942296421748e-42,68519.48885979703
50.769230769230774,2.920903717032244e-42,62443.51708244887
50.769230769230774,3.619267555526085e-42,56739.61982424457
50.769230769230774,4.484604392161538e-42,51476.050689375355
50.769230769230774,5.556836085104294e-42,46682.20429440683
50.769230769230774,6.885429477500488e-42,42363.484993049555
50.769230769230774,8.53167852417278e-42,38495.1376597186
50.769230769230774,1.0571532055870346e-41,35053.19518680331
50.769230769230774,1.3099097638483763e-41,31984.797024361025
50.769230769230774,1.6230983175920034e-41,29249.67202281984
50.769230769230774,2.0111676554194557e-41,26808.793110479754
50.769230769230774,2.492021151378044e-41,24614.205581190232
50.769230769230774,3.087842727671721e-41,22635.178919896003
50.769230769230774,3.8261202982015517e-41,20847.263112432433
50.769230769230774,4.740913908963265e-41,19248.060107704732
50.769230769230774,5.874427080289712e-41,17806.507100628696
50.769230769230774,7.278953843983101e-41,16508.795624442202
50.769230769230774,9.019291300867314e-41,15306.886453025105
50.769230769230774,1.117572900082943e-40,14132.76072642981
50.769230769230774,1.3847753058820664e-40,12798.610121648531
50.769230769230774,1.7158635894253092e-40,10846.891133489184
50.769230769230774,2.126112333899673e-40,7426.278451256989
50.769230769230774,2.634448148570035e-40,222.17066784880444
50.769230769230774,3.2643228379068263e-40,0.0
50.769230769230774,4.044795338205457e-40,0.0
50.769230769230774,5.0118723362727555e-40,0.0
53.333333333333336,9.999999999999999e-43,81847.80889296414
53.333333333333336,1.2390917011134509e-42,77858.06709436697
53.333333333333336,1.5353482437682257e-42,73575.20669608751
53.333333333333336,1.90243726717232e-42,69050.88330198466
53.333333333333336,2.3572942296421748e-42,64387.56416638288
53.333333333333336,2.920903717032244e-42,59677.002810183425
53.333333333333336,3.619267555526085e-42,55034.87223346339
53.333333333333336,4.484604392161538e-42,50537.09695235392
53.333333333333336,5.556836085104294e-42,46280.41201006647
53.333333333333336,6.885429477500488e-42,42315.32314084099
53.333333333333336,8.53167852417278e-42,38649.788837585686
53.333333333333336,1.0571532055870346e-41,35317.17678169234
53.333333333333336,1.3099097638483763e-41,32306.971781442964
53.333333333333336,1.6230983175920034e-41,29589.17495309549
53.333333333333336,2.0111676554194557e-41,27141.93979838819
53.333333333333336,2.492021151378044e-41,24927.028570661598
53.333333333333336,3.087842727671721e-41,22926.815792087495
53.333333333333336,3.8261202982015517e-41,21128.110106175205
53.333333333333336,4.740913908963265e-41,19494.666933349115
53.333333333333336,5.874427080289712e-41,18017.487629904725
53.333333333333336,7.278953843983101e-41,16669.934534420347
53.333333333333336,9.019291300867314e-41,15406.928094342895
53.333333333333336,1.117572900082943e-40,14134.72751817954
53.333333333333336,1.3847753058820664e-40,12639.065433303453
53.333333333333336,1.7158635894253092e-40,10443.661787460498
53.333333333333336,2.126112333899673e-40,6654.03678088438
53.333333333333336,2.634448148570035e-40,0.0
53.333333333333336,3.2643228379068263e-40,0.0
53.333333333333336,4.044795338205457e-40,0.0
53.333333333333336,5.0118723362727555e-40,0.0
55.8974358974359,9.999999999999999e-43,66623.49118332074
55.8974358974359,1.2390917011134509e-42,64660.36558975521
55.8974358974359,1.5353482437682257e-42,62429.59298510284
55.8974358974359,1.90243726717232e-42,59939.0993335318
55.8974358974359,2.3572942296421748e-42,57212.92103480096
55.8974358974359,2.920903717032244e-42,54283.887068381286
55.8974358974359,3.619267555526085e-42,51189.6173114768
55.8974358974359,4.484604392161538e-42,47984.812218288745
55.8974358974359,5.556836085104294e-42,44762.11835687967
55.8974358974359,6.885429477500488e-42,41557.399532256924
55.8974358974359,8.53167852417278e-42,38446.00432540301
55.8974358974359,1.0571532055870346e-41,35480.299562456756
55.8974358974359,1.3099097638483763e-41,32669.79693911387
55.8974358974359,1.6230983175920034e-41,30059.85600195409
55.8974358974359,2.0111676554194557e-41,27647.22595503401
55.8974358974359,2.492021151378044e-41,25430.877347594993
55.8974358974359,3.087842727671721e-41,23393.29172429216
55.8974358974359,3.8261202982015517e-41,21536.479262823865
55.8974358974359,4.740913908963265e-41,19838.938696869445
55.8974358974359,5.874427080289712e-41,18274.22899345871
55.8974358974359,7.278953843983101e-41,16835.09394220262
55.8974358974359,9.019291300867314e-41,15438.783874085875
55.8974358974359,1.117572900082943e-40,13975.775280953178
55.8974358974359,1.3847753058820664e-40,12175.91843847394
55.8974358974359,1.7158635894253092e-40,9546.827487008979
55.8974358974359,2.126112333899673e-40,5014.5791250345865
55.8974358974359,2.634448148570035e-40,0.0
55.8974358974359,3.2643228379068263e-40,0.0
55.8974358974359,4.044795338205457e-40,0.0
55.8974358974359,5.0118723362727555e-40,0.0
58.46153846153846,9.999999999999999e-43,49473.57979455728
58.46153846153846,1.2390917011134509e-42,48790.6678000292
58.46153846153846,1.5353482437682257e-42,47979.58125198804
58.46153846153846,1.90243726717232e-42,47025.20524529414
58.46153846153846,2.3572942296421748e-42,45913.83561571878
58.46153846153846,2.920903717032244e-42,44637.22738786707
58.46153846153846,3.619267555526085e-42,43187.84170668069
58.46153846153846,4.484604392161538e-42,41569.51031818707
58.46153846153846,5.556836085104294e-42,39791.665157483396
58.46153846153846,6.885429477500488e-42,37876.65876069149
58.46153846153846,8.53167852417278e-42,35851.07088855049
58.46153846153846,1.0571532055870346e-41,33747.25956112348
58.46153846153846,1.3099097638483763e-41,31612.7924342965
58.46153846153846,1.6230983175920034e-41,29466.21390101304
58.46153846153846,2.0111676554194557e-41,27377.620941989746
58.46153846153846,2.492021151378044e-41,25356.089206665427
58.46153846153846,3.087842727671721e-41,23414.521543879113
58.46153846153846,3.8261202982015517e-41,21582.26497371027
58.46153846153846,4.740913908963265e-41,19844.640823829934
58.46153846153846,5.874427080289712e-41,18202.422311492326
58.46153846153846,7.278953843983101e-41,16602.46923243913
58.46153846153846,9.019291300867314e-41,14959.313999469245
58.46153846153846,1.117572900082943e-40,13094.022740878221
58.46153846153846,1.3847753058820664e-40,10713.511387776987
58.46153846153846,1.7158635894253092e-40,7208.714035248358
58.46153846153846,2.126112333899673e-40,1092.2527025214222
58.46153846153846,2.634448148570035e-40,0.0
58.46153846153846,3.2643228379068263e-40,0.0
58.46153846153846,4.044795338205457e-40,0.0
58.46153846153846,5.0118723362727555e-40,0.0
61.02564102564103,9.999999999999999e-43,31455.746412995544
61.02564102564103,1.2390917011134509e-42,31291.06741565523
61.02564102564103,1.5353482437682257e-42,31087.61141052711
61.02564102564103,1.90243726717232e-42,30838.92732850448
61.02564102564103,2.3572942296421748e-42,30540.735902330263
61.02564102564103,2.920903717032244e-42,30184.224191120426
61.02564102564103,3.619267555526085e-42,29759.716659332902
61.02564102564103,4.484604392161538e-42,29254.9351202927
61.02564102564103,5.556836085104294e-42,28655.9358242131
61.02564102564103,6.885429477500488e-42,27965.253125834508
61.02564102564103,8.53167852417278e-42,27168.39753952937
61.02564102564103,1.0571532055870346e-41,26263.47537366193
61.02564102564103,1.3099097638483763e-41,25251.146930715906
61.02564102564103,1.6230983175920034e-41,24133.784096563126
61.02564102564103,2.0111676554194557e-41,22920.154041409893
61.02564102564103,2.492021151378044e-41,21619.543256520134
61.02564102564103,3.087842727671721e-41,20240.36264597816
61.02564102564103,3.8261202982015517e-41,18788.7422731813
61.02564102564103,4.740913908963265e-41,17255.575186385162
61.02564102564103,5.874427080289712e-41,15607.712265967632
61.02564102564103,7.278953843983101e-41,13780.209647465965
61.02564102564103,9.019291300867314e-41,11667.811780237533
61.02564102564103,1.117572900082943e-40,9045.43499401083
61.02564102564103,1.3847753058820664e-40,5419.582386173668
61.02564102564103,1.7158635894253092e-40,0.0
61.02564102564103,2.126112333899673e-40,0.0
61.02564102564103,2.634448148570035e-40,0.0
61.02564102564103,3.2643228379068263e-40,0.0
61.02564102564103,4.044795338205457e-40,0.0
61.02564102564103,5.0118723362727555e-40,0.0
63.58974358974359,9.999999999999999e-43,11781.22601079331
63.58974358974359,1.2390917011134509e-42,11732.478080264467
63.58974358974359,1.5353482437682257e-42,11695.048700850708
63.58974358974359,1.90243726717232e-42,11611.809285591566
63.58974358974359,2.3572942296421748e-42,11536.25281480116
63.58974358974359,2.920903717032244e-42,11428.715562710815
63.58974358974359,3.619267555526085e-42,11323.683734531949
63.58974358974359,4.484604392161538e-42,11161.030049167677
63.58974358974359,5.556836085104294e-42,10973.934304508333
63.58974358974359,6.885429477500488e-42,10718.386165793469
63.58974358974359,8.53167852417278e-42,10446.180033648467
63.58974358974359,1.0571532055870346e-41,10090.638198106688
63.58974358974359,1.3099097638483763e-41,9640.8341545258
63.58974358974359,1.6230983175920034e-41,9104.93149932332
63.58974358974359,2.0111676554194557e-41,8469.2101965992
63.58974358974359,2.492021151378044e-41,7646.752733533209
