nu_Hz,N0,value
19.831932773109244,263128.6073895945,1.399450310720286
19.831932773109244,284303.0459302665,1.3154269236635892
19.831932773109244,307181.43012686964,1.2364483242055637
19.831932773109244,331900.87959146773,1.1622116218914558
19.831932773109244,358609.54820118286,1.0924321118939078
19.831932773109244,387467.51204561285,1.0268421831428232
19.831932773109244,418647.72882899473,0.9651902920114074
19.831932773109244,452337.0744772105,0.9072399976223895
19.831932773109244,488737.4631624427,0.8527690550747344
19.831932773109244,528067.0574582637,0.801568563113259
19.831932773109244,570561.5758781021,0.7534421629724201
19.831932773109244,616475.7056337161,0.7082052853217351
19.831932773109244,666084.6290809154,0.6656844424248126
19.831932773109244,719685.6730011514,0.625716562797351
19.831932773109244,777600.0906038043,0.5881483658124586
19.831932773109244,840174.9869294344,0.5528357738548424
19.831932773109244,907785.3991937558,0.519643359769425
19.831932773109244,980836.5445406671,0.48844382748529824
19.831932773109244,1.0597662486760707e6,0.45911752382316373
19.831932773109244,1.1450475699382813e6,0.4315519796139868
19.831932773109244,1.2371916345321594e6,0.4056414783690181
19.831932773109244,1.336750699919709e6,0.3812866508469825
19.831932773109244,1.4443214647272818e6,0.35839409396357413
19.831932773109244,1.5605486450070748e6,0.33687601258172334
19.831932773109244,1.6861288382868804e6,0.3166498828088825
19.831932773109244,1.8218146985669748e6,0.2976381355100343
19.831932773109244,1.9684194472866112e6,0.27976785882266725
19.831932773109244,2.126821747296208e6,0.26297051853283493
19.831932773109244,2.2979709690469606e6,0.24718169523991473
19.831932773109244,2.48289288056033e6,0.23234083730206867
19.831932773109244,2.6826957952797273e6,0.21839102861492712
19.831932773109244,2.898577214651068e6,0.20527877033290376
19.831932773109244,3.131831005243845e6,0.19295377569602604
19.831932773109244,3.383855153428233e6,0.1813687771754185
19.831932773109244,3.6561601440851935e6,0.17047934519782537
19.831932773109244,3.9503780135666407e6,0.1602437177539638
19.831932773109244,4.268272131163825e6,0.15062264023723815
19.831932773109244,4.611747767708261e6,0.14157921489858413
19.831932773109244,4.982863514647306e6,0.13307875934008398
19.831932773109244,5.383843622033489e6,0.12508867350466638
19.831932773109244,5.817091329374358e6,0.1175783146517809
19.831932773109244,6.285203269240097e6,0.11051887983956823
19.831932773109244,6.790985029955707e6,0.10388329546283308
19.831932773109244,7.337467970651373e6,0.09764611342318903
19.831932773109244,7.927927389450606e6,0.09178341353317569
19.831932773109244,8.565902153685499e6,0.08627271178006121
19.831932773109244,9.255215909791354e6,0.08109287409750995
19.831932773109244,1.0e7,0.07622403531442513
23.10924369747899,1000.0,83.6916786077875
23.10924369747899,1080.4718223181285,78.66680687692377
23.10924369747899,1167.4193588234587,73.94362984655658
23.10924369747899,1261.3637220374437,69.50403368270521
23.10924369747899,1362.867959355774,65.33099211103423
23.10924369747899,1472.5404276241222,61.40850111946902
23.10924369747899,1591.0384392721533,57.72151758128456
23.10924369747899,1719.0722018585745,54.25590156328104
23.10924369747899,1857.4090746385718,50.99836209779244
23.10924369747899,2006.8781676649664,47.936406210559184
23.10924369747899,2168.375310987435,45.05829100898131
23.10924369747899,2342.8684237322327,42.352978647006616
23.10924369747899,2531.403315241567,39.810093993938885
23.10924369747899,2735.109953041208,37.41988484482335
23.10924369747899,2955.209235202888,35.173184519811166
23.10924369747899,3193.020307691027,33.06137670906895
23.10924369747899,3449.9684705497157,31.07636242840929
23.10924369747899,3727.593720314942,29.21052895891474
23.10924369747899,4027.5599798502976,27.456720651435422
23.10924369747899,4351.665070924416,25.808211483992547
23.10924369747899,4701.851489299852,24.258679266843302
23.10924369747899,5080.218046913023,22.802181396280695
23.10924369747899,5489.032450921557,21.433132064182146
23.10924369747899,5930.744895010559,20.14628083590297
23.10924369747899,6408.002744415996,18.93669251435924
23.10924369747899,6923.6664026787275,17.799728213076733
23.10924369747899,7480.826455225086,16.731027565619247
23.10924369747899,8082.822192522714,15.726492003167774
23.10924369747899,8733.261623828437,14.78226903611857
23.10924369747899,9436.04310147889,13.894737479418465
23.10924369747899,10195.378685327301,13.060493564975031
23.10924369747899,11015.819387358995,12.276337887881654
23.10924369747899,11902.282447787144,11.53926313639486
23.10924369747899,12860.08080610565,10.846442558607176
23.10924369747899,13894.954943731389,10.195219121584223
23.10924369747899,15013.107289081743,9.583095321390267
23.10924369747899,16221.239391291729,9.00772360492256
23.10924369747899,17526.592085367585,8.46689736682154
23.10924369747899,18936.988889503602,7.958542486929014
23.10924369747899,20460.88289466011,7.480709375839682
23.10924369747899,22107.407427431233,7.0315654980400275
23.10924369747899,23886.430789846003,6.609388343959966
23.10924369747899,25808.615404180768,6.212558823984555
23.10924369747899,27885.481717262915,5.839555059090977
23.10924369747899,30129.47724726992,5.488946544297511
23.10924369747899,32554.05118685032,5.1593886625406
23.10924369747899,35173.7350096938,4.8496175279402856
23.10924369747899,38004.22956365882,4.558445138677431
23.10924369747899,41062.49917244294,4.284754820893531
23.10924369747899,44366.873309786155,4.027496946140055
23.10924369747899,47937.15645558219,3.7856849059533473
23.10924369747899,51794.74679231213,3.5583913281171347
23.10924369747899,55962.76445319552,3.344744520101713
23.10924369747899,60466.19009070435,3.143925126040037
23.10924369747899,65332.014595937704,2.9551629844198923
23.10924369747899,70589.40086618738,2.7777341744411106
23.10924369747899,76269.85859023452,2.6109582397103095
23.10924369747899,82407.43309893666,2.4541955786258027
23.10924369747899,89038.90941296735,2.306844991444486
23.10924369747899,96204.0327106476,2.16834137462355
23.10924369747899,103945.74653722627,2.0381535535945394
23.10924369747899,112310.45018329516,1.9157822456582723
23.10924369747899,121348.27677491431,1.8007581451881076
23.10924369747899,131113.3937421563,1.6926401237981488
23.10924369747899,141664.3274669022,1.5910135385738475
23.10924369747899,153064.31405563594,1.495488641876922
23.10924369747899,165381.6783395673,1.405699086626014
23.10924369747899,178690.24337358287,1.321300521320732
23.10924369747899,193069.77288832495,1.24196926942083
23.10924369747899,208606.44934719568,1.167401088015833
23.10924369747899,225393.39047347888,1.0973100010244854
23.10924369747899,243531.20734334175,1.0314272024492273
23.10924369747899,263128.6073895945,0.9695000254795839
23.10924369747899,284303.0459302665,0.9112909734908627
23.10924369747899,307181.43012686964,0.8565768092219741
23.10924369747899,331900.87959146773,0.8051476986392592
23.10924369747899,358609.54820118286,0.756806406202977
23.10924369747899,387467.51204561285,0.7113675384502149
23.10924369747899,418647.72882899473,0.6686568329932927
23.10924369747899,452337.0744772105,0.6285104902068991
23.10924369747899,488737.4631624427,0.5907745450409231
23.10924369747899,528067.0574582637,0.555304276549812
23.10924369747899,570561.5758781021,0.5219636528739563
23.10924369747899,616475.7056337161,0.4906248095445475
23.10924369747899,666084.6290809154,0.46116755911115254
23.10924369747899,719685.6730011514,0.4334789302113919
23.10924369747899,777600.0906038043,0.40745273431499796
23.10924369747899,840174.9869294344,0.38298915848068465
23.10924369747899,907785.3991937558,0.3599943825640048
